surface	lemma	pos	features	source
azini	azini	Unknown		base
azma	azma	Noun		base
azungumze	azungumze	Unknown		base
baada	baada	Adposition		base
baadae	baadae	Adverb		base
baadaye	baadaye	Adverb		base
baadhi	baadhi	Noun		base
baathi	baathi	Verb		base
baba	baba	Noun		base
babaye	babaye	Noun		base
babu	babu	Noun		base
badala	badala	Adjective		base
bado	bado	Adverb		base
bahari	bahari	Noun		base
baharia	baharia	Noun		base
baharini	baharini	Noun		base
bahati	bahati	Noun		base
baina	baina	Adverb		base
baki	baki	Verb		base
bakini	bakini	Unknown		base
bakuli	bakuli	Noun		base
bali	bali	Adverb		base
balozi	ubalozi	Noun	Number=Plural	wiktionary
bandari	bandari	Noun		base
bandarini	bandarini	Noun		base
barabara	barabara	Noun		base
barabarani	barabarani	Noun		base
baragumu	baragumu	Noun		base
baraka	baraka	Proper noun		base
baraza	baraza	Noun		base
baridi	baridi	Noun		base
barua	barua	Noun		base
basi	basi	Noun		base
batili	batili	Verb		base
bawa	bawa	Noun		base
baya	baya	Adjective		base
bayana	bayana	Noun		base
behewa	behewa	Noun		base
benki	benki	Noun		base
bethlehemu	bethlehemu	Proper noun		base
biashara	biashara	Noun		base
bibi	bibi	Noun		base
bidhaa	bidhaa	Noun		base
bidii	bidii	Noun		base
bikira	bikira	Noun		base
bila	bila	Adposition		base
bilauri	bilauri	Noun		base
binadamu	binadamu	Noun		base
binafsi	binafsi	Adverb		base
binamu	binamu	Noun		base
binti	binti	Noun		base
birika	birika	Noun		base
bisha	bisha	Verb		base
bluu	bluu	Adjective		base
boma	boma	Noun		base
bonde	bonde	Noun		base
bonge	bonge	Noun		base
bora	bora	Adjective		base
boriti	boriti	Noun		base
boti	boti	Noun		base
bovu	bovu	Adjective		base
bubu	bubu	Noun		base
budi	budi	Noun		base
bure	bure	Adjective		base
busara	busara	Noun		base
bustani	bustani	Noun		base
busu	busu	Noun		base
bwana	bwana	Noun		base
cha	cha	Verb		base
chache	chache	Adjective		base
chachu	chachu	Noun		base
chafu	chafu	Adjective		base
chagueni	chagueni	Unknown		base
chaguo	chaguo	Noun		base
chake	ake	Adjective	Number=Singular	unimorph
chako	ako	Adjective	Number=Singular	unimorph
chakula	chakula	Noun		base
chango	uchango	Noun	Number=Plural	wiktionary
changu	angu	Adjective	Number=Singular	unimorph
chanzo	chanzo	Noun		base
chao	ao	Adjective	Number=Singular	unimorph
chapa	pa	Verb	Mood=Indicative;Number=Singular	unimorph
chaweza	chaweza	Unknown		base
cheche	cheche	Noun		base
chekundu	ekundu	Adjective	Number=Singular	unimorph
chema	ema	Adjective	Number=Singular	unimorph
chembe	chembe	Noun		base
chemchemi	chemchemi	Noun		base
chemichemi	chemichemi	Noun		base
chenu	enu	Adjective	Number=Singular	unimorph
chenye	chenye	Unknown		base
chenyewe	enyewe	Adjective	Number=Singular	unimorph
cheti	cheti	Noun		base
cheupe	eupe	Adjective	Number=Singular	unimorph
chini	chini	Adverb		base
chinja	chinja	Verb		base
chochote	chochote	Adjective		base
chokaa	chokaa	Noun		base
chombo	chombo	Noun		base
chooni	chooni	Noun		base
chote	ote	Adjective	Number=Singular	unimorph
chozi	chozi	Noun		base
chui	chui	Noun		base
chujio	chujio	Noun		base
chuki	chuki	Noun		base
chukieni	chukieni	Unknown		base
chukua	chukua	Verb		base
chukueni	chukueni	Unknown		base
chukulianeni	chukulianeni	Unknown		base
chuma	chuma	Noun		base
chumba	chumba	Noun		base
chumbani	chumbani	Noun		base
chumvi	chumvi	Noun		base
chunga	chunga	Verb		base
chuo	chuo	Noun		base
chupa	chupa	Noun		base
chura	chura	Noun		base
dada	dada	Noun		base
daima	daima	Adverb		base
dalili	dalili	Noun		base
damu	damu	Noun		base
danieli	danieli	Proper noun		base
dari	dari	Noun		base
darini	darini	Noun		base
daudi	daudi	Proper noun		base
dema	dema	Verb		base
deni	deni	Noun		base
desturi	desturi	Noun		base
dhabihu	dhabihu	Noun		base
dhahabu	dhahabu	Noun		base
dhahiri	dhahiri	Adjective		base
dhaifu	dhaifu	Adjective		base
dhalimu	dhalimu	Noun		base
dhamana	dhamana	Noun		base
dhambi	dhambi	Noun		base
dhamira	dhamira	Noun		base
dhamiri	dhamiri	Noun		base
dharau	dharau	Noun		base
dhati	dhati	Noun		base
dhehebu	dhehebu	Noun		base
dhidi	dhidi	Adverb		base
dhihaka	dhihaka	Noun		base
dhiki	dhiki	Noun		base
dhiraa	dhiraa	Noun		base
dhoruba	dhoruba	Noun		base
dhuluma	dhuluma	Noun		base
dinari	dinari	Noun		base
dini	dini	Noun		base
dirisha	dirisha	Noun		base
dirishani	dirishani	Noun		base
divai	divai	Noun		base
doa	doa	Noun		base
dogo	dogo	Adjective		base
donda	donda	Noun		base
dosari	dosari	Noun		base
dua	dua	Noun		base
dubu	dubu	Noun		base
dumu	dumu	Verb		base
dumuni	dumuni	Unknown		base
duni	duni	Adjective		base
dunia	dunia	Noun		base
duniani	duniani	Noun		base
egama	egama	Verb		base
elekeza	elekeza	Verb		base
eleweni	eleweni	Unknown		base
elfu	elfu	Numeral		base
elimu	elimu	Noun		base
endapo	endapo	Coordinating connective		base
endelea	endelea	Verb		base
endeleeni	endeleeni	Unknown		base
endelevu	endelevu	Adjective		base
enea	enea	Verb		base
eneo	eneo	Noun		base
enzi	enzi	Noun		base
epukeni	epukeni	Unknown		base
ethiopia	ethiopia	Proper noun		base
eva	eva	Proper noun		base
fadhaa	fadhaa	Noun		base
fadhili	fadhili	Adjective		base
fahali	fahali	Noun		base
fahamu	fahamu	Noun		base
fahamuni	fahamuni	Unknown		base
fahari	fahari	Noun		base
faida	faida	Noun		base
falme	ufalme	Noun	Number=Plural	wiktionary
falsafa	falsafa	Noun		base
familia	familia	Noun		base
fanikiwa	fanikiwa	Verb		base
fanya	fanya	Verb		base
fanyeni	fanyeni	Unknown		base
fanyia	fanyia	Verb		base
fanyika	fanyika	Verb		base
faragha	faragha	Noun		base
faraghani	faraghani	Noun		base
faraja	faraja	Noun		base
faraka	faraka	Verb		base
farao	farao	Noun		base
farasi	farasi	Noun		base
fedha	fedha	Noun		base
fidia	fidia	Noun		base
fikira	fikira	Noun		base
fikiri	fikiri	Verb		base
fikiria	fikiria	Verb		base
fikirini	fikirini	Unknown		base
fikra	fikra	Noun		base
filemoni	filemoni	Proper noun		base
filimbi	filimbi	Noun		base
fimbo	fimbo	Noun		base
fitina	fitina	Noun		base
frati	frati	Proper noun		base
fuata	fuata	Verb		base
fufueni	fufueni	Unknown		base
fujo	fujo	Noun		base
fukuzeni	fukuzeni	Unknown		base
fulani	fulani	Noun		base
fundi	fundi	Noun		base
fundisha	fundisha	Verb		base
fundishwa	fundishwa	Verb		base
funga	funga	Verb		base
fungeni	fungeni	Unknown		base
fungu	fungu	Noun		base
fungueni	fungueni	Unknown		base
funguka	funguka	Verb		base
funguo	ufunguo	Noun	Number=Plural	wiktionary
funza	funza	Verb		base
fupi	fupi	Adjective		base
furaha	furaha	Noun		base
furahi	furahi	Verb		base
furahini	furahini	Unknown		base
furahisha	furahisha	Verb		base
fursa	fursa	Noun		base
fuvu	fuvu	Noun		base
gabrieli	gabrieli	Proper noun		base
gadi	gadi	Noun		base
gani	gani	Adjective		base
gari	gari	Noun		base
gavana	gavana	Noun		base
gawanyika	gawanyika	Verb		base
gaza	gaza	Proper noun		base
gereza	gereza	Noun		base
gerezani	gerezani	Noun		base
geti	geti	Noun		base
getini	getini	Noun		base
geukeni	geukeni	Unknown		base
geuzeni	geuzeni	Unknown		base
ghadhabu	ghadhabu	Noun		base
ghafla	ghafla	Adverb		base
ghala	ghala	Noun		base
gharama	gharama	Noun		base
gharika	gharika	Noun		base
ghasia	ghasia	Noun		base
ghorofa	ghorofa	Noun		base
giza	giza	Noun		base
gizani	gizani	Noun		base
godoro	godoro	Noun		base
gogo	gogo	Noun		base
goti	goti	Noun		base
gumu	gumu	Adjective		base
gunia	gunia	Noun		base
haachi	haachi	Unknown		base
haambatani	haambatani	Unknown		base
haamki	haamki	Unknown		base
haba	haba	Adjective		base
habadiliki	habadiliki	Unknown		base
habari	habari	Noun		base
habatizi	habatizi	Unknown		base
habebi	habebi	Unknown		base
hadharani	hadharani	Noun		base
hadhi	hadhi	Noun		base
hadhihakiwi	hadhihakiwi	Unknown		base
hadi	hadi	Adposition		base
hadithi	hadithi	Noun		base
hadumu	hadumu	Unknown		base
haendelei	haendelei	Unknown		base
hafi	hafi	Unknown		base
hafungwi	hafungwi	Unknown		base
hai	hai	Adjective		base
haina	haina	Verb		base
haishi	haishi	Unknown		base
haja	haja	Noun		base
hajaribiwi	hajaribiwi	Unknown		base
hajengwi	hajengwi	Unknown		base
haji	haji	Noun		base
hajiri	hajiri	Verb		base
hajui	hajui	Unknown		base
hakai	hakai	Unknown		base
haki	haki	Noun		base
hakika	hakika	Noun		base
hakikisha	hakikisha	Verb		base
hakikisheni	hakikisheni	Unknown		base
hakimu	hakimu	Noun		base
hakosi	hakosi	Unknown		base
hakubali	hakubali	Unknown		base
hakubaliani	hakubaliani	Unknown		base
hakumbuki	hakumbuki	Unknown		base
hakuna	hakuna	Verb		base
halafu	halafu	Adverb		base
halali	halali	Adjective		base
haleti	haleti	Unknown		base
hali	hali	Noun		base
halisi	halisi	Adjective		base
hama	hama	Verb		base
hamchukii	hamchukii	Unknown		base
hamdhuru	hamdhuru	Unknown		base
hamfanyi	hamfanyi	Unknown		base
hamfikirii	hamfikirii	Unknown		base
hamgundui	hamgundui	Unknown		base
hamgusi	hamgusi	Unknown		base
hamhesabii	hamhesabii	Unknown		base
hamhukumu	hamhukumu	Unknown		base
hamjaribu	hamjaribu	Unknown		base
hamjui	hamjui	Unknown		base
hamko	hamko	Unknown		base
hamkumbuki	hamkumbuki	Unknown		base
hamna	hamna	Verb		base
hampaswi	hampaswi	Unknown		base
hampati	hampati	Unknown		base
hampendi	hampendi	Unknown		base
hampo	hampo	Unknown		base
hampokei	hampokei	Unknown		base
hampotezi	hampotezi	Unknown		base
hamsemi	hamsemi	Unknown		base
hamsikii	hamsikii	Unknown		base
hamsini	hamsini	Numeral		base
hamtafuti	hamtafuti	Unknown		base
hamtaki	hamtaki	Unknown		base
hamtambui	hamtambui	Unknown		base
hamtembei	hamtembei	Unknown		base
hamu	hamu	Noun		base
hamuwezi	hamuwezi	Unknown		base
hamwogopi	hamwogopi	Unknown		base
hana	hana	Verb		base
hanywi	hanywi	Verb		base
hao	hiyo	Adjective	Number=Plural	unimorph
haoni	haoni	Unknown		base
hapa	hii	Adjective	Number=Singular	unimorph
hapana	hapana	Particle		base
hapaswi	hapaswi	Unknown		base
hapo	hiyo	Adjective	Number=Singular	unimorph
hapokei	hapokei	Unknown		base
haradali	haradali	Noun		base
haraka	haraka	Noun		base
harakisha	harakisha	Verb		base
haramu	haramu	Adjective		base
hariri	hariri	Noun		base
harufu	harufu	Noun		base
harusi	harusi	Noun		base
hasa	hasa	Adverb		base
hasara	hasara	Noun		base
