target	source	prob	count
adamsın	exacting	1.0	1
adamı	man	0.5	19
adamım	advanced	0.25	1
adamın	man	0.5556	40
adamış	stephanas	1.0	1
adanmıştır	corban	0.5	1
adanın	island	0.6667	2
adayı	paphos	0.5	1
adayın	instruments	1.0	1
adağını	reconciled	1.0	2
addi	addi	1.0	1
adem	adam	1.0	6
adet	accustomed	0.5	1
adeti	contentious	1.0	1
adetiniz	custom	1.0	1
adil	righteous	0.7	7
adildir	judgments	0.5	2
adilsin	o	1.0	1
adla	christian	0.3333	1
adlandırılan	spiritually	0.5	1
adlar	questions	1.0	1
adlarla	blasphemous	1.0	1
adları	names	0.8	4
adlarınızın	names	1.0	1
adlarıyla	soon	1.0	1
adlı	named	0.2143	3
adı	name	0.6216	23
adım	sake	0.4444	4
adıma	antipas	0.3333	1
adımdan	hated	0.75	3
adımla	name	1.0	17
adımlarla	steps	1.0	1
adımlarını	steps	1.0	1
adımı	glorify	0.2	1
adımıza	epaphras	0.5	1
adın	kept	0.2857	2
adına	name	0.6	15
adında	named	0.5714	28
adındaki	affirmed	0.125	1
adından	bondservants	0.2	1
adınla	demons	0.4286	3
adını	name	0.7879	26
adının	interpretation	0.2857	2
adınıza	respect	0.5	1
adınızı	exclude	1.0	1
adıyla	name	0.9412	32
adıyorum	sanctify	1.0	1
adıysa	abaddon	1.0	1
aferin	few	0.6667	2
affeder	excusing	1.0	1
affedilecektir	committed	1.0	1
affetmez	boastful	1.0	1
agrippa	agrippa	1.0	11
ahaya	gallio	0.5	1
ahaz	jotham	1.0	1
ahim	zadok	1.0	1
ahlaksız	maligned	0.5	1
ahlaksızlık	immorality	0.5455	6
ahlaksızlıkla	habits	0.3333	1
ahlaksızlıkta	commits	1.0	1
ahlaksızlıktan	strangled	0.4	2
ahlaksızlığa	crept	0.3333	1
ahlaksızlığı	depraved	1.0	1
ahlaksızlığının	babylon	0.5	1
ahlakı	companionships	1.0	1
ahmak	raca	1.0	1
aile	family	1.0	1
aileler	families	1.0	1
ailenin	knees	1.0	1
ailesi	custom	1.0	1
ailesine	grandchildren	1.0	1
ait	belong	0.1429	4
aitiz	breastplate	0.3333	1
aitseniz	heirs	1.0	1
aittir	belongs	0.5	2
ak	black	0.3333	1
akacaktır	flow	1.0	1
akbabalar	vultures	1.0	2
akeldama	akeldama	1.0	1
akik	emerald	1.0	4
akla	peaceful	0.5	1
akladı	predestined	1.0	1
akladıklarını	predestined	1.0	1
akladığını	demonstrate	1.0	1
aklamaz	judges	1.0	1
aklanacaksınız	condemned	1.0	1
aklanalım	justified	1.0	1
aklanamadığı	justified	1.0	1
aklandı	trespass	1.0	1
aklandınız	washed	1.0	1
aklandıysa	justified	1.0	1
aklandığı	maintain	1.0	1
aklandığımıza	justified	1.0	2
aklandığını	justified	1.0	1
aklanmadı	justified	0.5	1
aklanmadığı	evident	1.0	1
aklanmak	alienated	0.5	1
aklanmamız	justification	0.5	1
aklanmayacaktır	justified	1.0	1
aklanmayı	justification	1.0	1
aklanmaz	justified	1.0	1
aklanmış	heirs	0.5	1
aklanılır	freely	1.0	1
aklanır	justified	1.0	2
aklayacak	justify	1.0	1
aklayacağını	foreseeing	1.0	1
aklayan	justifies	1.0	1
aklayana	justifies	1.0	1
aklı	minded	0.5	3
aklımın	warring	1.0	1
aklımız	beside	1.0	1
aklın	nature	1.0	1
aklınla	strength	0.6667	2
aklını	barabbas	1.0	1
aklınızı	either	1.0	1
akrabalar	acquaintances	1.0	1
akrabaları	magnified	0.5	1
akrabalarından	relatives	1.0	1
akrabalarını	relatives	0.6667	2
akrabalarının	annas	0.5	1
akrabalarınız	handed	1.0	1
akraban	relative	1.0	1
akrabasıydı	relative	1.0	1
akrebin	scorpion	1.0	1
akrep	egg	0.5	1
akrepleri	tread	1.0	1
akreplerin	scorpions	1.0	1
aksi	stretched	1.0	1
aksine	excessive	1.0	1
aksini	contradict	0.5	1
aktardı	translated	1.0	1
aktardığınız	handed	1.0	1
aktı	spear	1.0	1
akvila	priscilla	1.0	3
akıl	unsearchable	1.0	2
akıldan	naturally	0.5	1
akılla	thank	1.0	1
akılları	searches	1.0	1
akıllı	harmless	0.25	1
akıllıdır	wisely	1.0	1
akıllılar	sell	0.5	1
akıllılara	lamps	1.0	1
akıllıydı	foolish	1.0	1
akılsız	foolish	0.7059	12
akılsızca	generate	0.5	1
akılsızlar	lamps	0.5	2
akılsızlara	gladly	1.0	1
akılsızların	corrector	0.5	1
akılsızlık	foolishness	0.75	3
akılsızlıkta	wish	1.0	1
akılsızlıktır	foolishness	1.0	3
akılsızlığa	debater	1.0	1
akılsızlığı	folly	0.5	1
akılsızız	fools	1.0	1
akın	pressed	1.0	1
akıntısı	dried	1.0	1
akıntıya	drift	1.0	1
akıtılan	reconcile	0.5	1
akıtılmadan	dedicated	1.0	1
akıtır	opening	1.0	1
akşam	evening	0.8636	19
akşama	lodging	1.0	1
al	take	0.5333	8
alabildik	clauda	1.0	1
alabilmek	entreaty	1.0	1
alabilmeleri	occurred	1.0	1
alabilmeniz	endurance	1.0	1
alabilsin	sell	1.0	1
alacak	declare	0.2857	2
alacaklar	gentle	0.3333	1
alacaklarını	denarius	1.0	1
alacaklının	lender	1.0	1
alacaksın	avenge	1.0	1
alacaksınız	receive	0.2857	2
alacaktık	arranged	1.0	1
alacaktır	reward	0.3	3
alacağı	believing	0.3333	1
alacağım	bothers	0.5	1
alacağın	devoted	1.0	1
alacağını	think	1.0	1
alalım	blessing	0.25	1
alamadılar	commended	1.0	1
alamayacaklar	forewarn	1.0	1
alamaz	aaron	0.25	1
alamıyorsunuz	motives	1.0	1
alan	talents	0.2	3
alana	bridles	0.5	1
alandan	manna	0.3333	1
alanlar	possess	0.3333	1
alanlarda	shrink	1.0	1
alanları	sluggish	1.0	1
alanların	trespass	1.0	1
alanlarında	domain	1.0	1
alanımızın	sphere	1.0	1
alanındaki	jurisdiction	1.0	1
alarak	eight	0.25	1
alay	mocked	0.45	9
alaya	scourging	1.0	1
alaycı	mockers	1.0	1
alaycılar	mockers	0.5	1
alayım	gardener	1.0	1
aldanan	hateful	1.0	1
aldanarak	deceived	0.3333	1
aldanmadı	adam	1.0	1
aldanmayın	deceived	1.0	4
aldatan	deceivers	1.0	1
aldatanlar	deceivers	1.0	1
aldatarak	impostors	0.5	1
aldatmaca	secure	1.0	1
aldatmacalarla	philosophy	1.0	1
aldatmacasına	steadfastness	1.0	1
aldatmacaya	deception	1.0	1
aldatmasın	deceive	0.5	1
aldatmış	deluding	1.0	1
aldattın	sorcery	1.0	1
aldattığı	somehow	1.0	1
aldatıcı	deceivers	0.3333	2
aldatıcılığı	choke	1.0	2
aldatıcılığıyla	deceitfulness	1.0	1
aldatıcının	deceiver	1.0	1
aldatır	religious	1.0	1
aldı	took	0.6226	33
aldık	apostleship	0.2	1
aldıkları	orders	0.5	1
aldıklarında	lamps	1.0	1
aldıklarını	sacred	1.0	1
aldıktan	escorted	0.25	1
aldılar	took	0.375	9
aldım	excused	0.4	2
aldın	sang	1.0	1
aldınız	imitators	0.2222	2
aldırış	farm	0.5	1
aldıysa	inherited	0.5	1
aldıysam	exacted	1.0	1
aldıysan	different	1.0	1
aldığı	knees	0.3333	1
aldığım	dear	0.1667	1
aldığımı	scriptures	1.0	1
aldığımız	comforts	0.5	1
aldığımızı	petitions	1.0	1
aldığın	archippus	1.0	1
aldığını	lifetime	0.25	1
aldığınız	anointing	0.1111	1
alemleri	lewdness	1.0	1
alemlerine	revel	1.0	1
alev	burning	0.5714	4
aleve	flame	1.0	1
alevi	crowns	1.0	1
alevin	dip	1.0	1
alevine	flame	0.5	1
alevlendirir	sets	1.0	1
alevleri	sinai	1.0	1
aleyhinde	sect	1.0	1
alfa	alpha	1.0	3
alfay	alphaeus	1.0	5
alma	reasons	0.5	1
almadan	delay	0.5	1
almadı	hired	0.5	1
almadık	letters	1.0	1
almadılar	lamps	1.0	1
almadım	revelation	1.0	1
almadınız	abba	0.5	1
almadığın	different	1.0	1
almak	inherit	0.2632	5
almaktan	dream	0.5	1
almamalarını	staff	1.0	1
almamız	uncertainty	1.0	1
almamış	different	1.0	1
alman	pray	0.5	1
almanı	salve	1.0	1
almanın	idea	1.0	1
almanız	rebelliously	1.0	1
alması	collect	1.0	1
almasın	firmly	1.0	1
almaya	believer	0.1111	1
almayacak	exercises	1.0	1
almayacaklar	drunkards	1.0	1
almayacaklardı	staff	1.0	1
almayacaktır	inherit	1.0	1
almayacağını	homosexuals	1.0	1
almayı	lend	0.3333	2
almayın	participation	0.25	1
almaz	emboldened	0.3333	1
almazsak	buy	1.0	1
almış	promises	0.1667	2
almışlar	forsake	0.5	1
almışlardır	tithes	1.0	1
almıştı	aretas	0.5	1
almıştır	age	0.6667	2
alnalar	devours	1.0	1
alnı	workman	1.0	1
alnına	marks	1.0	1
alnında	forehead	1.0	2
alsın	bag	0.3333	3
alsınlar	late	0.25	1
alt	lowest	0.4	2
altmış	sixty	0.8889	8
altüst	erred	0.5	1
altı	six	0.8	8
altıdır	calculate	0.5	1
altımda	goes	0.5	1
altın	golden	0.5769	15
altına	under	0.5333	16
altıncı	sixth	0.9231	12
altında	under	0.8125	39
altındadır	cursed	0.5	1
altındaki	assuredly	0.25	1
altındakilerin	knee	1.0	1
altından	golden	0.25	1
altındandı	construction	0.5	1
altındasınız	dominion	1.0	1
altındayken	nathanael	1.0	1
altındaymışım	gain	1.0	1
altındayım	win	1.0	1
altınla	overlaid	0.5	1
altınlarla	decent	1.0	1
altını	guides	0.3333	1
altınım	silver	1.0	1
altınına	coveted	1.0	1
altınınız	corroded	1.0	1
altışar	wings	1.0	1
alçakgönüllü	contentious	0.25	1
alçakgönüllülere	resists	1.0	2
alçakgönüllüleri	comforts	1.0	1
alçakgönüllülerle	associate	1.0	1
alçakgönüllülük	indulgence	0.5	1
alçakgönüllülükle	humility	0.8	4
alçakgönüllülüğü	humility	1.0	3
alçakgönüllüyüm	yoke	1.0	1
alçaklığını	heel	1.0	1
alçaltan	humbles	1.0	2
alçaltarak	humbling	1.0	1
alçalttı	humbled	1.0	1
alçaltılacak	humbles	1.0	3
alçaltılacaktır	valley	1.0	1
alçaltılırsa	humbles	1.0	1
alçaltın	exalt	1.0	2
alıcı	overthrew	1.0	1
alıcıdır	avenger	1.0	2
alıcılar	drive	1.0	1
alıkonmuş	retain	1.0	1
alıkorsanız	retain	1.0	1
alıkoyacak	faultless	1.0	1
alıkoyamayacak	stop	1.0	1
alıkoydu	interfered	1.0	1
alıkoydum	burdensome	1.0	1
alıkoyduğunuz	mowed	1.0	1
alıkoyulmuştu	recognizing	1.0	1
alın	take	0.3182	7
alınacak	taken	0.5	3
alınacaktır	taken	0.75	3
alınacağı	bridegroom	0.75	3
alınamaz	irrevocable	1.0	1
alınan	fourteen	0.5	1
alınanlar	eleventh	1.0	1
alınca	accusations	0.2	1
alındı	received	0.3333	2
alındılar	offended	1.0	1
alındınız	price	1.0	2
alındığı	chosen	0.5	1
alınlarına	forehead	1.0	1
alınlarında	foreheads	1.0	3
alınlarından	foreheads	1.0	1
alınmadan	translation	1.0	1
alınmasını	secure	1.0	1
alınmayacak	needed	1.0	1
alınmayı	groan	1.0	1
alınsın	sure	1.0	1
alınıp	caught	0.75	3
alınıyor	humiliation	1.0	1
alıp	took	0.5352	38
alır	knocks	0.2857	2
alırdık	smelling	1.0	1
alırdım	interest	1.0	2
alırken	dangerous	1.0	1
alırsam	denounced	1.0	1
alırsanız	imitators	1.0	1
alırız	pleasing	1.0	1
alıyor	tithes	0.5	2
alıyordu	traveling	0.5	1
alıyorsunuz	result	1.0	1
alıyorum	delight	1.0	1
alıyoruz	justly	0.5	1
alışkanlık	assembling	1.0	1
alışkanlıklarla	habits	1.0	1
alıştırmayla	senses	1.0	1
ama	but	0.908	918
amacı	election	0.3333	1
amacım	aim	1.0	1
amacımı	steadfastness	1.0	1
amacımız	aim	1.0	1
amacına	purpose	1.0	4
amacını	accomplished	1.0	1
amacının	immutability	1.0	1
amacıyla	testing	0.375	3
amaç	ambition	0.2	1
amaçla	circumstances	0.5	1
amaçladığı	purposed	1.0	1
amaçlar	purposes	1.0	1
amaçlarına	softly	1.0	1
amaçlayın	returns	1.0	1
amaçsızca	aimlessly	1.0	1
amaçta	accord	1.0	1
ambarda	barns	0.5	1
ambarları	ravens	1.0	1
ambarıma	bundles	1.0	1
ambarına	fan	1.0	1
ametistti	sapphire	1.0	1
amfipolis	amphipolis	1.0	1
amin	amen	0.9574	45
amminadav	amminadab	1.0	2
amon	amon	1.0	1
amos	amos	1.0	1
an	lifespan	0.5	1
ana	highways	0.2	2
anahtarları	keys	1.0	1
anahtarlarını	keys	1.0	1
anahtarı	key	1.0	2
anahtarına	shuts	1.0	1
anahtarını	key	1.0	1
anan	firm	1.0	1
ananları	havoc	1.0	1
ananların	bind	0.5	1
anarak	forefathers	1.0	1
anasi	abominations	1.0	1
ancak	but	0.5922	61
anda	moment	0.1818	2
andan	divided	0.5	1
andreas	andrew	0.8889	8
andı	obligated	0.6667	2
andın	guarantee	1.0	1
andıran	sheet	0.25	2
andırır	withers	1.0	1
andıyla	change	1.0	1
andığıma	unceasingly	1.0	1
aneas	heals	1.0	1
ani	sudden	1.0	1
anki	weight	1.0	1
anladı	inquire	0.3333	1
anladıkları	naturally	1.0	1
anladıklarında	unlearned	1.0	1
anladılar	perceived	0.3333	2
anladım	perceived	1.0	1
anladınız	understood	1.0	1
anlama	mean	0.4286	3
anlamadı	nobody	1.0	1
anlamadılar	understand	1.0	10
anlamadığında	snatches	1.0	1
anlamak	disqualified	0.3333	1
anlamalarını	lie	1.0	1
anlamamışlardı	understood	1.0	1
anlamasınlar	blinded	0.25	1
anlamaya	examining	0.5	1
anlamayacaksınız	perceive	1.0	2
anlamaz	understands	1.0	1
anlamazlar	parables	1.0	1
anlamsız	meaning	1.0	1
anlamı	concealed	0.25	1
anlamına	siloam	1.0	1
anlamını	foreigner	0.5	1
anlamıyor	understand	0.6	3
anlamıyorsunuz	understand	0.6667	2
anlamıyorum	porch	0.5	1
anlamıyoruz	little	1.0	1
anlamışlardı	feared	1.0	1
anlar	deliverance	1.0	1
anlarlar	callous	1.0	1
anlarız	commandments	1.0	1
anlasın	daniel	1.0	2
anlat	allow	0.5	1
anlatabileyim	utterance	1.0	1
anlatacak	bear	1.0	1
anlatacağım	figures	1.0	1
anlatan	reporting	1.0	1
anlatarak	athenians	0.5	1
anlatayım	carries	1.0	1
anlatmadan	telling	1.0	1
anlatmak	dull	1.0	1
anlatmaya	began	0.5	3
anlattı	parable	0.4286	6
anlattıktan	explained	1.0	1
anlattılar	told	0.4	6
anlattım	figures	1.0	1
anlatılacaktır	memorial	1.0	1
anlatılamaz	unspeakable	1.0	3
anlatılanları	clothes	0.5	1
anlatıp	case	0.3333	1
anlatır	pronounces	1.0	1
anlatırken	longing	0.5	1
anlatıyorlar	reception	1.0	1
anlatıyorsun	everybody	1.0	1
anlayabilirim	explains	1.0	1
anlayabilirsiniz	perceive	1.0	1
anlayabilmek	transformed	1.0	1
anlayabilsinler	minds	1.0	1
anlayacaklar	understand	1.0	1
anlayacaksın	later	1.0	1
anlayacaksınız	parables	1.0	1
anlayan	craftiness	0.25	1
anlayanlardır	understands	1.0	1
anlayarak	perceiving	1.0	1
anlayın	understand	0.6667	2
anlayınca	hours	0.25	1
anlayıp	test	1.0	1
anlayış	understanding	0.6667	2
anlayışa	calculate	1.0	1
anlayışla	forgiveness	0.5	1
anlayışları	hardening	1.0	1
anlayışlı	conduct	1.0	1
anlayışlıların	discernment	1.0	1
anlayışsız	breakers	0.3333	1
anlayışsızsınız	defile	1.0	1
anlayışta	discernment	1.0	1
anlayıştan	provoke	1.0	1
anlayışı	surpasses	1.0	1
anlayışım	prays	1.0	1
anlayışımla	instruct	1.0	1
anlayışın	gaining	1.0	1
anlayışına	answers	1.0	1
anlayışını	discernment	1.0	1
anlayışıyla	important	1.0	1
anlaş	prosecutor	1.0	1
anlaşamayınca	rightly	1.0	1
anlaşma	concession	1.0	1
anlaşmadın	agree	1.0	1
anlaşması	agreement	1.0	2
anlaşmazlık	contention	0.5	1
anlaşmışlardı	agreed	1.0	1
anlaştılar	agreed	0.6667	2
anlaştınız	tempt	1.0	1
anlaşılmakta	divinity	1.0	1
anlaşılması	twist	1.0	1
anlaşılır	easy	1.0	1
anlaşılırsa	assuredly	1.0	1
anlaşıp	agreed	0.5	1
anlıyor	reading	1.0	1
anlıyorlar	strongly	1.0	1
anlıyorum	expecting	0.3333	1
anlıyoruz	question	0.5	1
anmak	memory	1.0	3
anmaya	iniquities	0.5	1
anmayacağım	lawless	1.0	1
anmış	covenant	1.0	1
anna	anna	0.5	1
anne	parents	0.8333	10
annelerin	nursing	1.0	1
annem	mother	0.8571	6
annemdir	sister	1.0	1
annemin	separated	1.0	1
annen	home	0.3333	1
annene	honor	0.6667	4
annenin	cherishes	1.0	1
annenize	parents	1.0	1
annenle	desiring	0.5	1
annenmiş	older	1.0	1
annesi	mother	0.8929	25
annesine	mother	1.0	13
annesini	mother	0.9231	12
annesinin	womb	0.25	2
annesiydi	thinking	1.0	1
annesiyle	parents	0.6	3
anneye	mothers	1.0	1
ansızın	suddenly	0.875	7
ant	swear	0.2941	10
antakya	greetings	1.0	1
antakyalı	prochorus	1.0	1
antla	immutability	1.0	1
antlardan	oaths	1.0	1
antları	vows	1.0	1
antlarından	oaths	1.0	1
antlaşma	covenant	1.0	17
antlaşmadır	contain	0.3333	1
antlaşmalar	israelites	1.0	1
antlaşmalarına	commonwealth	1.0	1
antlaşmamı	disregarded	1.0	1
antlaşmanın	covenant	0.5714	4
antlaşmasını	covenant	0.5	1
antlaşmayı	confirmed	0.6667	2
antsız	inasmuch	1.0	1
anılacak	break	0.6667	2
anılacaksın	prepare	1.0	1
anılan	didymus	0.25	1
anılarla	memories	1.0	1
anıldı	cornelius	1.0	1
anılmadığı	aim	1.0	1
anılmak	frightened	1.0	1
anılmaktan	ashamed	1.0	1
anılması	memorial	1.0	1
anılmasın	mentioned	1.0	1
anılmaya	hired	0.5	1
anılmayan	actually	1.0	1
anılmayı	refused	1.0	1
anılır	sprinkled	1.0	1
anılırken	slanderer	1.0	1
anımsayın	results	1.0	1
anında	draw	0.5	1
anısına	memorial	1.0	1
anıt	consent	0.5	1
anıyor	mention	0.5	1
anıyorum	mention	1.0	1
anızla	hay	1.0	1
apacı	stomach	1.0	1
apaçık	clearly	1.0	1
apollos	apollos	0.7143	5
apolyon	abaddon	1.0	1
appius	market	1.0	1
arabaları	silk	1.0	1
arabalarının	chariots	1.0	1
arabasında	chariot	1.0	1
arabasının	chariot	1.0	1
arabaya	chariot	1.0	1
aracı	mediator	1.0	3
aracılık	intercession	0.5714	4
aracılığı	accursed	1.0	1
aracılığım	except	1.0	1
aracılığımla	dare	0.3333	1
aracılığımızla	ambassadors	0.3333	1
aracılığıyla	through	0.7394	122
aracısı	mediator	0.6667	2
arada	meanwhile	0.4286	3
aradaki	separation	1.0	1
aradan	fifteen	0.5	1
aradaydı	common	1.0	1
aradayken	assembled	1.0	1
aradık	concluding	1.0	1
aradıklarını	clear	1.0	1
aradılar	sought	0.5	4
aradığım	increases	1.0	2
aradığını	obtain	1.0	1
aradığınız	seek	1.0	1
aradığınızı	crucified	1.0	1
aralarında	themselves	0.4359	17
aralarındaki	contention	1.0	1
aralarından	argument	0.25	1
aralarındayken	bridegroom	1.0	1
aralıksız	forefathers	1.0	1
arama	freed	1.0	2
aramadık	claimed	1.0	1
aramak	boats	0.5	1
aramaktaydı	conveniently	1.0	1
aramatya	consented	1.0	1
aramatyalı	arimathaea	1.0	3
aramaya	dresser	0.5	1
aramayan	seek	1.0	1
aramayanlar	bold	1.0	1
aramayı	knocking	1.0	1
aramayın	anxious	1.0	1
aramaz	inappropriately	0.5	1
aramıyorum	judges	1.0	1
aramızda	accompanied	0.1111	1
aramızdan	arrived	0.3333	1
aramış	planted	1.0	1
aranıza	denying	0.5	2
aranızda	among	0.8085	38
aranızdadır	secrets	1.0	1
aranızdaki	among	0.25	1
aranızdan	accuse	0.0909	1
aranızdayken	absent	0.3333	2
aranızdaymışım	absent	1.0	1
aranızdayım	absent	1.0	1
arar	seeks	0.5	1
ararlar	knows	0.6667	2
ararım	myself	1.0	1
arasın	pursue	0.5	1
arasına	thorns	0.3333	6
arasında	among	0.6854	61
arasındaki	sickness	0.4	2
arasından	fingers	0.1	1
arasındaydı	lamented	0.5	1
arattı	examined	1.0	1
araya	together	0.9	27
arayabilsin	seek	1.0	1
arayacak	dream	1.0	1
arayacaklar	flee	1.0	1
arayacaksınız	seek	1.0	4
arayalım	look	1.0	3
arayan	seeks	0.8333	5
arayanlara	incorruptibility	1.0	1
arayanları	rewarder	1.0	1
arayarak	returned	0.5	1
arayın	added	0.1667	1
arayıp	diligently	0.4	2
araç	crept	0.5	1
araçları	instruments	1.0	2
araştır	search	1.0	1
araştıran	searches	1.0	2
araştırdıktan	traced	1.0	1
araştırdılar	searching	1.0	1
araştırmak	spy	1.0	1
araştırır	searches	1.0	1
araştırıyorlardı	deception	0.5	1
araştırıyorsunuz	search	1.0	1
ardım	cross	1.0	1
ardımdan	follow	0.7727	17
ardına	cheer	1.0	1
ardınca	forbade	0.1667	1
ardında	leaving	1.0	1
ardındaki	anchor	1.0	1
ardından	followed	0.5439	31
ares	areopagus	1.0	2
aristarhus	aristarchus	0.75	3
arka	stern	1.0	3
arkada	wet	1.0	1
arkadan	clothes	0.5	1
arkadaş	friend	1.0	3
arkadaşlar	soon	1.0	1
arkadaşları	friends	0.4286	3
arkadaşlarım	andronicus	1.0	1
arkadaşlarımla	disobeyed	1.0	1
arkadaşlarına	companions	1.0	1
arkadaşlarından	privileges	1.0	1
arkadaşlarını	neighbors	0.6	3
arkadaşlarının	company	0.3333	1
arkadaşlarıyla	acquaintances	1.0	1
arkadaşlık	associate	0.6667	2
arkadaşlıklar	companionships	1.0	1
arkadaşı	patience	0.3333	1
arkadaşım	greets	0.4	2
arkadaşımız	philemon	1.0	1
arkadaşına	fellow	0.5	1
arkadaşını	throat	1.0	1
arkamda	trumpet	1.0	1
arkamızdan	cries	1.0	1
arkası	similar	1.0	1
arkasına	plow	0.5	1
arkasında	leaves	1.0	1
arkasından	fringe	1.0	1
arkasını	leaned	1.0	1
armagedon	harmagedon	1.0	1
arması	wintered	1.0	1
armağan	gift	1.0	9
armağana	employ	1.0	1
armağandan	waiting	1.0	1
armağanlar	gifts	1.0	5
armağanlara	differing	0.5	1
armağanları	earnestly	0.4	2
armağanlarıyla	testifying	1.0	1
armağanı	gift	0.8	8
armağanıdır	gift	1.0	1
armağanım	mysteries	1.0	1
armağanımız	differing	1.0	1
armağanını	gift	1.0	5
armağanının	gift	1.0	2
armağanınız	arrange	1.0	1
armağanınızı	gracious	1.0	1
arom	aaron	1.0	1
aron	levitical	0.5	1
arp	harp	0.6667	2
arpa	barley	1.0	3
arpakşat	arphaxad	1.0	1
arplarıyla	harps	1.0	1
arpçıların	harpists	1.0	2
arta	baskets	1.0	2
artacağı	cold	1.0	1
artakalan	baskets	0.8	4
artakalanıdır	remnant	1.0	1
artan	idle	1.0	1
artanı	poverty	1.0	2
artemis	artemis	1.0	3
artık	more	0.4286	42
artır	increase	1.0	1
artırsın	sakes	0.5	1
artırıp	increase	1.0	1
artıyor	abounds	1.0	1
artıyordu	increased	1.0	2
artışta	immovable	1.0	1
arzu	lust	0.5	3
arzuladığımdan	regions	1.0	1
arzulara	creep	0.3333	1
arzuları	choke	0.25	1
arzuların	divine	1.0	1
arzularına	enticed	0.5	1
arzularından	youthful	1.0	1
arzularını	lewdness	1.0	1
arzularıyla	passions	1.0	1
arzulayacaklar	flee	1.0	1
arzulayan	persecution	1.0	1
arzulayın	newborn	1.0	1
arzuluyorlar	strongly	1.0	1
arzuluyorlardı	ashamed	1.0	1
arzuluyorsunuz	miserable	1.0	1
arzuluyorum	pressed	1.0	1
arzunla	sits	1.0	1
arzusu	prayer	1.0	1
arzusuydu	flock	1.0	1
arındıktan	worshipers	1.0	1
arındır	expenses	1.0	1
arındıracağı	heifer	1.0	1
arındıran	asia	0.5	1
arındırdı	purification	1.0	1
arındırmak	cleanse	0.5	1
arındırın	purify	1.0	1
arındırır	cleanses	1.0	1
arındırırsa	purges	1.0	1
arındığını	lacks	1.0	1
arınma	purification	1.0	2
arınmayı	radiance	1.0	1
arınmış	mob	0.5	1
arının	purge	1.0	1
arıttınız	fervently	1.0	1
arıtılmış	refined	0.6667	2
arıtıp	appearing	1.0	1
arıyor	adulterous	0.3333	2
arıyordu	consented	0.2	1
arıyorduk	anxiously	1.0	1
arıyordun	marveled	1.0	1
arıyorlar	seek	0.5	1
arıyorsun	gardener	1.0	1
arıyorsunuz	seek	0.4444	4
arıyorum	striving	1.0	1
arıyoruz	enduring	1.0	1
arşın	cubit	0.5	1
asa	jehoshaphat	1.0	1
asarak	hanging	1.0	1
asası	overlaid	0.5	1
asasıdır	scepter	1.0	1
asayla	rod	1.0	2
asi	unruly	1.0	2
asildi	examining	1.0	1
asinkritus	asyncritus	1.0	1
asker	soldier	0.5	3
askere	squads	1.0	1
askeri	soldier	1.0	2
askerin	guarded	1.0	1
askerle	encounter	1.0	2
askerler	soldiers	0.9231	12
askerlerden	spear	1.0	1
askerlerdi	parted	1.0	1
askerlere	amount	0.3333	1
askerleri	centurions	0.6667	2
askerlerim	goes	1.0	1
askerlerinden	beheaded	1.0	1
