surface	lemma	pos	features	source
amarah	amarah	Noun		base
amat	amat	Adverb		base
amati	amat	Adverb		clitic
ambang	ambang	Noun		base
ambil	ambil	Verb		base
ambillah	ambil	Verb		clitic
ambing	ambing	Noun		base
ambingkan	ambing	Noun		clitic
ambisi	ambis	Verb		clitic
amin	amin	Proper noun		base
aminadab	aminadab	Noun		base
amoral	amoral	Adjective		base
amoralitas	amoralitas	Noun		base
amos	amos	Proper noun		base
ampuni	ampun	Noun		unimorph
an	an	Proper noun		base
anak	anak	Noun		base
anakku	anak	Noun	Number=Singular;Gender=Neuter	unimorph
anakmu	anak	Noun	Number=Singular;Gender=Neuter	unimorph
anaknya	anak	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
ananias	ananias	Proper noun		alignment
ancaman	ancam	Noun	Number=Singular;Gender=Neuter	unimorph
anda	anda	Pronoun		base
andai	anda	Pronoun		clitic
andreas	andreas	Proper noun		base
aneh	aneh	Adjective		base
ang	ang	Proper noun		base
anggap	menganggap	Verb	Mood=Imperative	wiktionary
anggaplah	anggap	Verb		clitic
anggota	anggota	Noun		base
anggotanya	anggota	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
anggur	anggur	Noun		base
anggurku	anggur	Noun		clitic
anggurnya	anggur	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
angin	angin	Noun		base
angka	angka	Noun		base
angkanya	angka	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
angkat	angkat	Noun		base
angkatan	angkat	Noun	Number=Singular;Gender=Neuter	unimorph
angkatlah	angkat	Noun		clitic
angkuh	angkuh	Adjective		base
aniaya	aniaya	Verb		base
anjing	anjing	Noun		base
annas	annas	Proper noun		alignment
antara	antara	Adposition		base
antaranya	antara	Adposition		clitic
antikristus	antikristus	Proper noun		alignment
antiok	antiok	Proper noun		alignment
antiokia	antiok	Proper noun		alignment
antiokialah	antiok	Proper noun		alignment
antipas	antipas	Proper noun		base
antusiasnya	antusias	Adjective	Number=Singular;Definiteness=Definite	unimorph
anugerah	anugerah	Noun		base
apa	apa	Pronoun		base
apabila	apabila	Subordinating connective		base
apakah	apa	Pronoun		clitic
apalagi	apalagi	Adverb		base
apapun	apa	Pronoun		clitic
api	api	Noun		base
apinya	api	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
apolonia	apolos	Proper noun		alignment
apolos	apolos	Proper noun		alignment
ara	ara	Proper noun		base
arab	arab	Proper noun		base
arah	arah	Noun		base
arahan	arah	Noun	Number=Singular;Gender=Neuter	unimorph
arahnya	arah	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
aram	aram	Proper noun		base
areopagus	areopagus	Proper noun		alignment
aretas	aretas	Proper noun		base
argumen	argumen	Noun		base
arimatea	arimatea	Proper noun		alignment
aristarkhus	aristarkus	Proper noun		alignment
aristarkus	aristarkus	Proper noun		alignment
aristobulus	aristarkus	Proper noun		alignment
arkipus	arkipus	Proper noun		alignment
aroma	aroma	Noun		base
artemas	artemas	Proper noun		alignment
artemis	artemas	Proper noun		alignment
arti	art	Proper noun		clitic
artinya	arti	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
asa	asa	Noun		base
asal	asal	Noun		base
asalkan	asal	Noun		unimorph
asalmu	asal	Noun		clitic
asalnya	asal	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
asam	asam	Noun		base
asap	asap	Noun		base
asas	asas	Noun		base
asia	asia	Proper noun		base
asin	asin	Noun		base
asing	asing	Adjective		base
asisten	asisten	Noun		base
asli	asli	Adjective		base
aslinya	asli	Adjective	Number=Singular;Definiteness=Definite	unimorph
asos	asos	Proper noun		alignment
asusila	asusila	Adjective		base
asyer	asyer	Proper noun		alignment
atap	atap	Noun		base
atas	atas	Adposition		base
atasan	atas	Adposition		clitic
atasanku	atasan	Noun		clitic
atasmu	atas	Adposition	Number=Singular	unimorph
atasnya	atas	Adposition		clitic
atau	atau	Coordinating connective		base
ataukah	atau	Coordinating connective		clitic
ataupun	atau	Coordinating connective		clitic
atena	atena	Proper noun		base
athena	athena	Proper noun		base
attalia	attalia	Proper noun		alignment
aturan	atur	Noun	Number=Singular;Gender=Neuter	unimorph
aus	aus	Noun		base
awak	awak	Noun		base
awal	awal	Noun		base
awalnya	awal	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
awan	awan	Noun		base
awasilah	awasilah	Unknown		base
ayah	ayah	Noun		base
ayahku	ayah	Noun	Number=Singular;Gender=Neuter	unimorph
ayahmu	ayah	Noun	Number=Singular;Gender=Neuter	unimorph
ayahnya	ayah	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
ayam	ayam	Noun		base
ayat	ayat	Noun		base
ayo	ayo	Interjection		base
ayolah	ayo	Interjection		clitic
ayub	ayub	Proper noun		base
baal	baal	Adjective		base
babel	babel	Proper noun		base
babi	bab	Noun		clitic
babilonia	babilonia	Proper noun		base
babinya	babi	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
baca	baca	Verb		base
bacalah	baca	Verb		clitic
badai	bada	Proper noun		clitic
badan	bad	Noun		clitic
badani	badan	Noun		unimorph
badannya	badan	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
bagaikan	bagai	Adposition		clitic
bagaimana	bagaimana	Adverb		base
bagaimanakah	bagaimana	Adverb		clitic
bagaimanapun	bagaimana	Adverb		clitic
bagi	bagi	Adposition		base
bagian	bagi	Adposition	Number=Singular;Gender=Neuter	unimorph
bagiannya	bagi	Adposition	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
bagikan	bagi	Adposition		unimorph
bagikanlah	bagikan	Verb		clitic
bagiku	bagi	Adposition	Person=First	unimorph
bagilah	bagi	Adposition		clitic
bagimu	bagi	Adposition	Person=Second	unimorph
baginda	baginda	Proper noun		base
baginya	bagi	Adposition	Definiteness=Definite	unimorph
bagus	bagus	Adjective		base
bah	bah	Noun		base
bahagia	bahagia	Adjective		base
bahagianya	bahagia	Adjective	Number=Singular;Definiteness=Definite	unimorph
bahan	bah	Noun		clitic
bahasa	bahasa	Noun		base
bahaya	bahaya	Noun		base
bahkan	bah	Noun		clitic
bahtera	bahtera	Noun		base
bahu	bahu	Noun		base
bahunya	bahu	Noun	Definiteness=Definite	unimorph
bahwa	bahwa	Subordinating connective		base
baik	baik	Adjective		base
baikku	baik	Adjective		clitic
baiklah	baik	Adjective		clitic
baikmu	baik	Adjective		clitic
baiknya	baik	Adjective	Number=Singular;Definiteness=Definite	unimorph
bait	bait	Noun		base
baju	baju	Noun		base
bajumu	baju	Noun	Number=Singular;Gender=Neuter	unimorph
bakar	bakar	Noun		base
bakaran	bakar	Noun	Number=Singular;Gender=Neuter	unimorph
bakul	bakul	Noun		base
balai	bala	Noun		unimorph
balak	balak	Adjective		base
balas	balas	Noun		base
balasan	balas	Noun	Number=Singular;Gender=Neuter	unimorph
balik	membalik	Verb	Mood=Imperative	wiktionary
balikkan	balik	Noun		unimorph
balok	balok	Noun		base
balsam	balsam	Noun		base
bandang	bandang	Adjective		base
banding	banding	Noun		base
bandingkan	banding	Noun		unimorph
bangga	bangga	Verb		base
banggakan	bangga	Verb		unimorph
bangganya	bangga	Verb	Number=Singular;Definiteness=Definite	unimorph
bangkai	bangka	Proper noun		clitic
bangkit	bangkit	Verb		base
bangkitkan	bangkit	Verb		unimorph
bangkitlah	bangkit	Verb		clitic
bangsa	bangsa	Noun		base
bangsamu	bangsa	Noun	Number=Singular;Gender=Neuter	unimorph
bangsanya	bangsa	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
bangsawan	bangsa	Noun	Number=Singular;Gender=Masculine	unimorph
bangun	bangun	Proper noun		base
bangunan	bangun	Proper noun	Number=Singular;Gender=Neuter	unimorph
bangunannya	bangun	Proper noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
bangunlah	bangun	Proper noun		clitic
banjir	banjir	Noun		base
banjirnya	banjir	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
bank	bank	Noun		base
bantal	bantal	Noun		base
bantu	bantu	Noun		base
bantuan	bantu	Noun	Number=Singular;Gender=Neuter	unimorph
bantulah	bantu	Noun		clitic
banyak	banyak	Adverb		base
banyaknya	banyak	Adverb		clitic
bapa	bapa	Noun		base
bapak	bapak	Noun		base
bapakmu	bapak	Noun		clitic
bapaknya	bapak	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
bapamu	bapa	Noun	Number=Singular;Gender=Neuter	unimorph
baptis	baptis	Noun		base
baptisan	baptis	Noun		clitic
baptislah	baptis	Noun		clitic
bara	bara	Noun		base
barabas	barabas	Proper noun		alignment
barak	barak	Noun		base
barang	barang	Noun		base
barangsiapa	barangsiapa	Unknown		base
barat	barat	Noun		base
barbar	barbar	Adjective		base
barisan	baris	Noun	Number=Singular;Gender=Neuter	unimorph
barnabas	barnabas	Proper noun		alignment
barsabas	barsabas	Proper noun		alignment
bartolomeus	bartolomeus	Proper noun		base
baru	baru	Adjective		base
barulah	baru	Adjective		clitic
barumu	baru	Adjective		clitic
basah	basah	Adjective		base
basi	bas	Noun		clitic
baskom	baskom	Noun		base
batal	batal	Verb		base
batalyon	batalyon	Noun		base
batas	batas	Noun		base
batin	batin	Noun		base
batu	batu	Noun		base
batupun	batu	Noun		clitic
bau	bau	Noun		base
baunya	bau	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
bawa	bawa	Noun		base
bawah	bawah	Noun		base
bawahan	bawah	Noun	Number=Singular;Gender=Neuter	unimorph
bawahanku	bawahan	Noun		clitic
bawakan	bawa	Noun		unimorph
bawalah	bawa	Noun		clitic
bayangan	bayang	Noun	Number=Singular;Gender=Neuter	unimorph
bayangannya	bayang	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
bayangkan	bayang	Noun		unimorph
bayar	bayar	Noun		base
bayaran	bayar	Noun	Number=Singular;Gender=Neuter	unimorph
bayarkan	bayar	Noun		unimorph
bayarlah	bayar	Noun		clitic
bayi	bay	Proper noun		clitic
bayinya	bayi	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
bea	bea	Proper noun		base
beban	beban	Noun		base
bebas	bebas	Adjective		base
bebaskan	bebas	Adjective		unimorph
beberapa	beberapa	Determiner		base
beda	beda	Verb		base
bedanya	beda	Verb	Number=Singular;Definiteness=Definite	unimorph
beelzebul	beelzebul	Proper noun		alignment
begini	begini	Determiner		base
beginilah	begini	Determiner		clitic
begitu	begitu	Adverb		base
begitulah	begitu	Adverb		clitic
bejana	bejana	Noun		base
bejat	bejat	Adjective		base
bekal	bekal	Noun		base
bekas	bekas	Noun		base
bekerja	bekerja	Verb		base
bekerjalah	bekerja	Verb		clitic
belah	belah	Noun		base
belajar	belajar	Verb		base
belajarlah	belajar	Verb	Number=Singular;Gender=Neuter	unimorph
belakang	belakang	Noun		base
belakangan	belakang	Noun		unimorph
belakangku	belakang	Noun	Number=Singular;Gender=Neuter	unimorph
belakangnya	belakang	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
belalang	belalang	Proper noun		base
belas	belas	Numeral		base
belenggu	belenggu	Verb		base
belerang	belerang	Noun		base
beli	bel	Proper noun		clitic
beliau	beliau	Pronoun		base
belilah	beli	Noun		clitic
belukar	belukar	Noun		base
belum	belum	Particle		base
belumlah	belum	Particle		clitic
belzebul	belzebul	Proper noun		alignment
benak	benak	Noun		base
benang	benang	Noun		base
benar	benar	Adjective		base
bencana	bencana	Noun		base
benci	benci	Adjective		base
bencilah	benci	Adjective		clitic
benda	benda	Noun		base
bendahara	bendahara	Noun		base
bendanya	benda	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
benderang	benderang	Adjective		base
bengkak	bengkak	Verb		base
bengkok	bengkok	Noun		base
benih	benih	Noun		base
benihnya	benih	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
benteng	benteng	Noun		base
bentuk	bentuk	Noun		base
bentuknya	bentuk	Noun	Number=Singular;Gender=Neuter;Definiteness=Definite	unimorph
benyamin	benyamin	Proper noun		alignment
bepergian	bepergian	Verb		base
beracun	racun	Noun		unimorph
berada	ada	Verb		unimorph
beradaptasi	adaptasi	Noun		unimorph
beradik	adik	Noun		unimorph
beragama	agama	Noun		unimorph
beragi	ragi	Verb		unimorph
berai	bera	Adjective		clitic
berakal	akal	Noun		unimorph
berakar	akar	Noun		unimorph
berakhir	akhir	Noun		unimorph
berakta	akta	Noun		clitic
beralih	alih	Verb		unimorph
berangkat	angkat	Noun		clitic
berangkatlah	berangkat	Verb		unimorph
berani	ani	Noun		clitic
beraninya	berani	Adjective	Number=Singular;Definiteness=Definite	unimorph
berapa	apa	Pronoun		clitic
berarti	arti	Noun		unimorph
berasal	asal	Noun		unimorph
berat	berat	Adjective		base
beratap	ratap	Verb		unimorph
berbagai	bagai	Adposition		clitic
berbagi	bagi	Adposition		unimorph
berbagilah	bagi	Adposition		unimorph
berbahagia	bahagia	Adjective		unimorph
berbahagialah	bahagia	Adjective		unimorph
berbahasa	bahasa	Noun		unimorph
berbahaya	bahaya	Noun		unimorph
berbaik	baik	Adjective		unimorph
berbakti	bakti	Proper noun		unimorph
berbalik	balik	Noun		unimorph
berbangga	bangga	Verb		unimorph
berbaring	baring	Verb		unimorph
berbatu	batu	Noun		unimorph
berbau	bau	Noun		unimorph
berbeda	beda	Verb		unimorph
berbelas	belas	Numeral		clitic
berbelok	belok	Verb		unimorph
berbentuk	bentuk	Noun		unimorph
berbicara	bicara	Verb		unimorph
berbicaralah	bicara	Verb		unimorph
berbisa	bisa	Auxiliary verb		unimorph
berbisnis	bisnis	Noun		unimorph
berbohong	bohong	Verb		unimorph
berbuah	buah	Noun		unimorph
berbuat	buat	Verb		unimorph
berbuatlah	buat	Verb		unimorph
berbunyi	bunyi	Noun		unimorph
berbusa	busa	Verb		unimorph
bercacat	cacat	Noun		unimorph
bercahaya	cahaya	Noun		unimorph
bercampur	campur	Verb		unimorph
bercela	cela	Verb		unimorph
berceloteh	berceloteh	Proper noun		alignment
bercerai	cerai	Verb		unimorph
bercerita	cerita	Noun		unimorph
bercocok	cocok	Adjective		unimorph
berdamai	damai	Adjective		unimorph
berdamailah	berdamailah	Proper noun		alignment
berdasarkan	dasar	Noun		unimorph
berdaya	daya	Noun		unimorph
berdayung	dayung	Noun		unimorph
berdebat	debat	Noun		unimorph
berdedikasi	dedikasi	Noun		unimorph
berdesakan	desak	Verb		unimorph
berdiam	diam	Verb		unimorph
berdiri	diri	Pronoun		unimorph
berdirilah	diri	Pronoun		unimorph
berdiskusi	diskusi	Noun		unimorph
berdoa	doa	Noun		unimorph
berdoalah	doa	Noun		unimorph
berdosa	dosa	Noun		unimorph
berdosapun	berdosapun	Proper noun		alignment
berdua	dua	Numeral		clitic
berduka	duka	Noun		unimorph
berduri	duri	Noun		unimorph
berdusta	dusta	Verb		unimorph
berea	berea	Proper noun		alignment
berenang	renang	Verb		unimorph
berencana	rencana	Noun		unimorph
bereskanlah	bereskan	Verb		clitic
berfirman	firman	Proper noun		unimorph
berfokus	fokus	Noun		unimorph
bergabung	gabung	Verb		unimorph
berganti	ganti	Verb		unimorph
bergantung	gantung	Verb		unimorph
bergaul	gaul	Verb		unimorph
bergegas	gegas	Verb		unimorph
bergelora	gelora	Verb		unimorph
bergema	gema	Proper noun		unimorph
bergembira	gembira	Adjective		unimorph
bergembiralah	gembira	Adjective		unimorph
bergemuruh	gemuruh	Verb		unimorph
bergerak	gerak	Noun		unimorph
bergeser	geser	Verb		unimorph
bergiliran	gilir	Verb		unimorph
bergoncang	goncang	Verb		unimorph
bergosip	gosip	Verb		unimorph
berguna	guna	Adposition		unimorph
berhadapan	hadap	Verb		unimorph
berhak	hak	Noun		unimorph
berhala	hala	Noun		clitic
berharap	harap	Verb		unimorph
berharga	harga	Noun		unimorph
berharganya	harga	Noun	Definiteness=Definite	unimorph
berhasil	hasil	Noun		clitic
berhembus	hembus	Verb		unimorph
berhenti	henti	Verb		unimorph
berhentilah	henti	Verb		unimorph
berhias	hias	Verb		unimorph
berhikmat	hikmat	Verb		unimorph
berhubungan	hubung	Verb		unimorph
berhujat	hujat	Verb		clitic
berhutang	hutang	Noun		unimorph
beri	beri	Verb		base
beribadah	ibadah	Noun		unimorph
berikan	beri	Verb		unimorph
berikanlah	ikan	Noun		unimorph
berikanpun	berikan	Verb		clitic
berikut	ikut	Verb		unimorph
berikutnya	berikut	Verb		clitic
berilah	beri	Verb		unimorph
beriman	iman	Noun		unimorph
berisi	isi	Noun		unimorph
beristirahat	istirahat	Verb		unimorph
beristri	istri	Noun		unimorph
berita	berita	Noun		base
beritahu	beritahu	Verb		base
beritahukan	beritahu	Verb		clitic
beritahukanlah	beritahukan	Verb		clitic
beritakan	berita	Noun		unimorph
berjaga	jaga	Verb		unimorph
berjalan	jalan	Noun		unimorph
berjalanlah	jalan	Noun		unimorph
berjanji	janji	Noun		unimorph
berjanjilah	janji	Noun		unimorph
berjarak	jarak	Noun		unimorph
berjualan	jual	Verb		unimorph
berjuang	juang	Verb		unimorph
berjumlah	jumlah	Noun		unimorph
berjumpa	jumpa	Verb		unimorph
berkabung	kabung	Noun		clitic
berkabunglah	berkabung	Verb		clitic
berkah	kah	Particle		clitic
berkaitan	kait	Verb		unimorph
berkat	berkat	Adposition		base
berkata	kata	Verb		unimorph
berkatalah	kata	Verb		unimorph
berkati	berkat	Adposition		clitic
berkatilah	berkat	Adposition		unimorph
berkecukupan	cukup	Adverb		unimorph
berkedudukan	duduk	Verb		unimorph
berkeinginan	ingin	Verb		unimorph
berkekurangan	kurang	Adverb		unimorph
berkelahi	kelahi	Verb		unimorph
berkelebihan	lebih	Adverb		unimorph
berkeliaran	liar	Noun		unimorph
berkeliling	keliling	Noun		unimorph
berkelimpahan	limpah	Verb		unimorph
berkelompok	kelompok	Noun		unimorph
berkeluh	keluh	Verb		unimorph
berkembang	kembang	Proper noun		unimorph
berkenan	kenan	Verb		unimorph
berkhotbah	khotbah	Verb		unimorph
berkilau	kilau	Verb		unimorph
berkilauan	kilau	Verb		unimorph
berkobar	kobar	Verb		unimorph
berkomitmen	komitmen	Noun		unimorph
berkompromi	kompromi	Noun		unimorph
berkuasa	kuasa	Noun		unimorph
berkuda	kuda	Noun		unimorph
berkumandang	kumandang	Verb		unimorph
berkumpul	kumpul	Verb		unimorph
berkumpullah	kumpul	Verb		unimorph
berkumpulnya	kumpul	Verb	Definiteness=Definite	unimorph
berkunjung	kunjung	Verb		unimorph
berkurang	kurang	Adverb		unimorph
berlabuh	labuh	Verb		unimorph
berlaku	laku	Noun		unimorph
berlalu	lalu	Verb		unimorph
berlangsung	langsung	Adjective		unimorph
berlanjut	lanjut	Verb		unimorph
berlapis	lapis	Verb		unimorph
berlari	lari	Verb		unimorph
berlarian	lari	Verb		unimorph
berlarilah	lari	Verb		unimorph
berlawanan	lawan	Noun		unimorph
berlayar	layar	Noun		unimorph
berlebih	lebih	Adverb		unimorph
berlebihan	lebih	Adverb		unimorph
berlimpah	limpah	Verb		unimorph
berlindung	lindung	Verb		unimorph
berlomba	lomba	Noun		unimorph
berlutut	lutut	Verb		unimorph
berlututlah	berlutut	Verb		clitic
bermain	main	Verb		unimorph
bermaksud	maksud	Noun		unimorph
bermalam	malam	Noun		unimorph
bermanfaat	manfaat	Noun		unimorph
bermanfaatnya	bermanfaat	Verb		clitic
bermarga	marga	Noun		unimorph
bermasalah	masalah	Noun		unimorph
bermata	mata	Noun		unimorph
bermegah	megah	Verb		unimorph
bermoral	moral	Noun		unimorph
bermunculan	muncul	Verb		unimorph
bermurah	murah	Adjective		unimorph
bermusuhan	musuh	Noun		unimorph
bernama	nama	Noun		unimorph
bernanah	nanah	Noun		clitic
berniat	niat	Noun		unimorph
bernike	bernike	Proper noun		alignment
bernilai	nilai	Noun		unimorph
bernubuat	nubuat	Verb		unimorph
bernyanyi	nyanyi	Verb		unimorph
bernyawa	nyawa	Noun		unimorph
berobat	obat	Noun		unimorph
beroleh	oleh	Adposition		clitic
berpacu	pacu	Noun		unimorph
berpakaian	pakai	Verb		unimorph
berpaling	paling	Adverb		unimorph
berpantai	pantai	Noun		clitic
berpedoman	pedoman	Noun		unimorph
berpegang	pegang	Verb		unimorph
berpendidikan	didik	Verb		unimorph
berperang	perang	Noun		unimorph
berpergian	pergi	Verb		unimorph
berperilaku	perilaku	Noun		unimorph
berpesan	pesan	Noun		unimorph
berpesta	pesta	Noun		unimorph
berpihak	pihak	Noun		unimorph
berpikir	pikir	Verb		unimorph
berpikirlah	berpikir	Verb		clitic
berpikirmu	berpikir	Verb		clitic
berpindah	pindah	Verb		unimorph
berpisah	pisah	Verb		unimorph
berpuasa	puasa	Verb		unimorph
berpusat	pusat	Noun		unimorph
berputus	putus	Verb		unimorph
bersabar	sabar	Adjective		unimorph
bersabarlah	sabar	Adjective		unimorph
bersaksi	saksi	Noun		unimorph
bersalah	salah	Adjective		unimorph
bersama	sama	Adjective		unimorph
bersamaan	sama	Adjective		unimorph
bersamaku	sama	Adjective		unimorph
bersamamu	sama	Adjective		unimorph
bersamanya	sama	Adjective	Definiteness=Definite	unimorph
bersandar	sandar	Verb		unimorph
bersatu	satu	Numeral		clitic
bersaudara	saudara	Noun		unimorph
bersebelahan	berseblahan	Proper noun		alignment
berseblahan	berseblahan	Proper noun		alignment
bersedia	sedia	Verb		unimorph
bersedih	sedih	Adjective		unimorph
bersekongkol	sekongkol	Noun		clitic
bersekutu	sekutu	Noun		unimorph
berselang	selang	Noun		unimorph
berselingkuh	selingkuh	Verb		clitic
bersemangat	semangat	Noun		unimorph
bersemayam	semayam	Verb		unimorph
bersembunyi	sembunyi	Verb		unimorph
bersenjata	senjata	Noun		unimorph
bersepakat	sepakat	Verb		unimorph
berseru	seru	Verb		unimorph
berserulah	seru	Verb		unimorph
berseteru	seteru	Noun		clitic
bersetubuh	setubuh	Noun		clitic
bersiap	siap	Verb		unimorph
bersiaplah	siap	Verb		unimorph
bersifat	sifat	Noun		unimorph
bersih	sih	Noun		clitic
bersihkan	bersih	Adjective		unimorph
bersikap	sikap	Noun		unimorph
bersikeras	bersikeras	Verb		base
bersimpati	simpati	Verb		unimorph
bersinar	sinar	Noun		unimorph
bersorak	sorak	Verb		unimorph
bersoraklah	sorak	Verb		unimorph
bersujud	sujud	Verb		unimorph
bersuka	suka	Verb		unimorph
bersukacita	sukacita	Noun		unimorph
bersukacitalah	sukacita	Noun		unimorph
bersumpah	sumpah	Noun		unimorph
bersunat	sunat	Noun		clitic
bersusah	susah	Adjective		unimorph
bersyukur	syukur	Noun		clitic
bersyukurlah	bersyukur	Verb		clitic
bertahan	tahan	Verb		unimorph
bertahta	tahta	Noun		unimorph
bertambah	tambah	Verb		unimorph
bertamu	tamu	Noun		unimorph
bertanam	tanam	Verb		unimorph
bertanding	tanding	Verb		unimorph
bertanggung	tanggung	Verb		unimorph
bertanggungjawab	tanggungjawab	Unknown		clitic
bertanya	tanya	Verb		unimorph
bertanyalah	tanya	Verb		unimorph
bertarung	tarung	Verb		unimorph
bertekad	tekad	Noun		unimorph
bertekadlah	bertelut	Proper noun		alignment
bertelut	bertelut	Proper noun		alignment
bertempur	tempur	Verb		unimorph
bertemu	temu	Verb		unimorph
bertengger	tengger	Noun		clitic
bertengkar	tengkar	Verb		unimorph
bertentangan	tentang	Adposition		unimorph
berteriak	teriak	Verb		unimorph
berteriaklah	berteriak	Verb		clitic
berterima	terima	Verb		unimorph
berterus	terus	Adverb		unimorph
bertiga	tiga	Numeral		clitic
bertindak	tindak	Noun		unimorph
bertindaklah	tindak	Noun		unimorph
bertingkah	tingkah	Noun		unimorph
bertiup	tiup	Verb		unimorph
bertobat	tobat	Verb		unimorph
bertobatlah	tobat	Verb		unimorph
bertugas	tugas	Noun		unimorph
bertugasnya	tugas	Noun	Definiteness=Definite	unimorph
bertuhan	tuhan	Proper noun		clitic
bertujuan	tuju	Verb		unimorph
bertumbuh	tumbuh	Verb		unimorph
bertunangan	tunang	Verb		unimorph
bertunas	tunas	Noun		clitic
beruang	uang	Noun		unimorph
berubah	rubah	Verb		unimorph
berulang	ulang	Verb		unimorph
berumur	umur	Noun		unimorph
berunding	runding	Verb		unimorph
beruntungnya	beruntung	Adjective	Number=Singular;Definiteness=Definite	unimorph
berupa	rupa	Noun		unimorph
berurusan	urus	Verb		unimorph
berusaha	usaha	Noun		unimorph
berusahalah	usaha	Noun		unimorph
berusia	usia	Noun		unimorph
berwarna	warna	Noun		unimorph
berwujud	wujud	Noun		unimorph
berzina	zina	Verb		unimorph
berzinah	zinah	Noun		clitic
besar	besar	Adjective		base
besarlah	besar	Adjective		clitic
