target	source	prob	count
alabástrom	ointment	1.0	1
alabástromedény	jar	1.0	1
alabástromedényben	alabaster	1.0	1
alabástromedényt	jar	1.0	1
alacsony	brother	1.0	1
alacsonyabb	inferior	1.0	1
alacsonyrendűeket	lowly	1.0	1
alakban	form	1.0	1
alamizsnaként	needy	1.0	2
alamizsnád	deeds	0.5	1
alamizsnáid	gifts	1.0	1
alamizsnáidra	gifts	1.0	1
alamizsnákban	acts	0.5	1
alamizsnát	gifts	0.5714	4
alamizsnáért	begging	0.3333	1
alapelemeire	principles	1.0	1
alapja	kinds	1.0	1
alapjai	shaken	1.0	1
alapján	evening	0.3333	1
alapját	foundation	1.0	1
alapköve	foundations	1.0	1
alapkövén	being	1.0	1
alapkő	foundation	1.0	1
alaposan	grounded	1.0	1
alapozott	foundation	1.0	1
alapra	build	0.5	1
alaptalannak	vain	1.0	1
alapítottad	foundation	1.0	1
alapítása	foundation	1.0	2
alatt	under	0.7308	38
alattam	myself	1.0	2
alattomban	brought	0.5	1
alattvalói	citizens	1.0	1
alexander	alexander	1.0	1
alexandriai	alexandria	0.6667	2
alexandriaiak	alexandrians	1.0	1
alexandrosz	alexander	0.6667	2
alfa	alpha	1.0	3
alfeus	alphaeus	1.0	5
alig	clauda	0.3333	1
aligha	hardly	1.0	1
aljáig	top	0.6667	2
aljától	under	1.0	1
alkalma	opportunity	1.0	1
alkalmakat	seasons	1.0	1
alkalmakról	seasons	1.0	1
alkalmam	convenient	1.0	1
alkalmas	fit	0.2	2
alkalmasak	able	0.5	1
alkalmassá	also	0.5	1
alkalmat	occasion	0.3571	5
alkalmatlan	out	0.5	1
alkalmatlanná	eunuchs	1.0	1
alkalmatlanok	eunuchs	1.0	2
alkalmatok	opportunity	1.0	1
alkalmatosságot	time	1.0	1
alkalmaztam	transferred	1.0	1
alkalmával	had	0.5	1
alkalom	turn	1.0	1
alkalommal	time	1.0	1
alkotott	without	1.0	1
alkottál	prepared	1.0	1
alkotása	workmanship	0.5	1
alkotásaitól	hands	1.0	1
alkotásában	works	1.0	1
alkotója	maker	1.0	1
aloéból	aloes	1.0	1
alszik	quenched	0.4286	3
alszol	sleep	0.5	1
alszunk	sleep	1.0	1
alsóruhádat	coat	1.0	2
aludjatok	sleep	0.5	1
aludjunk	sleep	1.0	1
aludt	asleep	0.6667	2
aludtak	slept	1.0	1
aludtunk	slept	1.0	1
alul	help	1.0	1
aluli	years	1.0	1
alulit	old	1.0	1
alusznak	sleep	1.0	2
alusztok	sleep	1.0	1
alva	sleeping	0.8571	6
alvilágba	abyss	1.0	1
alá	under	0.4571	16
alább	must	1.0	1
alábbvaló	behind	0.5	1
alábbvalót	worse	1.0	1
alája	things	1.0	2
alávaló	do	1.0	1
alávetetlenül	subject	1.0	1
alávetett	subjected	1.0	3
alávetette	subjected	1.0	1
aláveti	subjected	1.0	1
alávettetett	subjected	1.0	1
alávettettek	gone	1.0	1
alázatos	humble	0.5	2
alázatosak	courteous	0.5	1
alázatosan	humble	0.5	1
alázatoskodásban	severity	0.5	1
alázatosokat	lowly	1.0	1
alázatosoknak	proud	1.0	1
alázatossággal	humility	0.5	1
alázatosságot	lowliness	1.0	1
alázzátok	humble	1.0	2
ama	the	0.4857	17
amaz	the	0.8333	5
amazokat	left	0.5	1
amazoké	theirs	1.0	1
amazt	nothing	1.0	1
ameddig	long	1.0	2
amellyel	which	0.5769	15
amely	which	0.43	89
amelybe	which	0.8	4
amelyben	which	0.5263	10
amelyből	which	0.6667	2
amelyek	which	0.451	23
amelyekben	which	1.0	3
amelyeken	coming	0.5	1
amelyeket	which	0.7391	34
amelyekkel	which	1.0	2
amelyeknek	which	1.0	2
amelyekre	which	1.0	2
amelyekről	which	1.0	1
amelyektől	from	0.5	1
amelyen	which	0.5	8
amelyet	which	0.6857	96
amelyhez	lamb	1.0	1
amelyik	in	0.2	3
amelynek	which	0.5833	14
amelyre	which	0.6667	4
amelyről	which	0.375	3
amelyért	which	1.0	4
amennyi	needs	0.5	1
amennyiben	because	1.0	3
amennyire	much	0.5	2
amennyit	much	1.0	1
amennyivel	excellent	0.6667	2
amerre	where	1.0	1
ametiszt	amethyst	1.0	1
amfipoliszon	amphipolis	1.0	1
ami	which	0.3857	54
amiatt	very	0.4	2
amibe	which	1.0	1
amiben	which	0.7143	5
amiből	battles	0.5	1
amid	firmly	1.0	1
amihez	such	1.0	1
amije	that	0.375	6
amik	things	0.5405	20
amiket	which	0.3659	30
amikkel	things	1.0	3
amikképpen	as	0.6667	2
amiknek	which	1.0	2
amikor	when	0.7197	416
amikre	body	1.0	1
amikről	concerning	0.5	1
amiként	as	0.8	4
amiképpen	as	0.66	33
amilyen	as	0.4615	6
amilyenek	be	0.3333	1
amilyeneknek	way	1.0	1
amilyennek	as	1.0	1
amilyet	you	1.0	1
amim	content	0.5	1
amin	up	1.0	1
aminek	which	0.75	6
amint	as	0.7065	142
aminádáb	amminadab	1.0	1
aminádábot	amminadab	1.0	1
aminádábé	amminadab	1.0	1
amire	which	0.5	3
amiről	that	0.5	3
amit	which	0.364	83
amitek	such	0.5	1
amitől	until	1.0	1
amivel	that	0.3846	5
amiért	also	0.25	1
amióta	that	0.5	2
amott	there	1.0	3
ampliátuszomat	amplias	1.0	1
amíg	until	0.6	36
amúgy	kind	1.0	1
andronikoszt	andronicus	1.0	1
andrás	andrew	0.6	6
andrásnak	andrew	0.5	1
andrást	andrew	1.0	4
angyal	angel	0.7069	41
angyala	angel	0.5758	19
angyalai	angels	1.0	8
angyalainak	angels	1.0	4
angyalait	angels	0.8	4
angyalaival	angels	1.0	3
angyalhoz	angel	1.0	1
angyallal	angel	0.5	2
angyalnak	angels	0.5714	4
angyalnál	angels	1.0	1
angyalok	angels	1.0	25
angyalokat	angels	0.8	4
angyalokhoz	angels	1.0	1
angyalokkal	angels	1.0	1
angyaloknak	angels	0.75	3
angyaloknál	angels	1.0	3
angyalokra	angels	1.0	1
angyalokról	angels	1.0	1
angyalomat	angel	1.0	1
angyalt	angel	0.5714	8
angyalának	in	0.5	7
angyalát	angel	0.75	3
angyalává	angel	1.0	1
angyalé	angel	1.0	2
anna	prophetess	1.0	1
annak	him	0.2358	50
annyi	long	0.3333	2
annyira	so	0.8235	14
annyit	many	0.5	2
annyival	much	0.6667	2
annál	cried	0.2667	4
annás	annas	1.0	3
annáshoz	annas	1.0	1
antikrisztus	antichrist	0.8	4
antipatriszba	antipatris	1.0	1
antiókhiába	antioch	1.0	9
antiókhiában	antioch	1.0	5
antiókhiából	antioch	0.5	2
antiókhiáig	antioch	1.0	2
anya	mother	1.0	3
anyagból	lump	1.0	1
anyagiakkal	material	1.0	1
anyagyilkosért	mothers	0.5	1
anyaméh	womb	1.0	1
anyaméhek	wombs	1.0	1
anyaszentegyházamat	assembly	1.0	1
anyaszentegyházat	assembly	0.5	1
anyaszentegyházban	congregation	0.5	1
anyaszentegyházának	lord	1.0	1
anyaszentegyházát	assembly	1.0	2
anyja	mother	0.963	26
anyjuk	womb	1.0	1
anyjának	mother	0.9	9
anyját	mother	1.0	19
anyjától	mother	1.0	1
anyjával	mother	1.0	5
anyád	mother	1.0	4
anyádat	mother	0.8571	6
anyádban	eunice	1.0	1
anyákat	mothers	1.0	1
anyám	mother	0.875	7
anyós	against	1.0	1
anyósa	mother	0.5	2
anyósával	her	1.0	1
anániás	ananias	1.0	11
apa	father	0.6	3
apellészt	apelles	1.0	1
apja	his	1.0	1
apjával	father	1.0	1
apollónián	apollonia	1.0	1
apollós	apollos	1.0	6
apollósra	apollos	0.5	1
apollóst	apollos	1.0	1
apollósé	apollos	0.5	2
apollüón	apollyon	1.0	1
apostol	apostle	0.5	4
apostola	apostle	0.44	11
apostolai	apostles	1.0	1
apostolainak	apostles	1.0	2
apostolaitok	apostles	1.0	1
apostolnak	apostles	0.6667	2
apostolok	apostles	1.0	26
apostolokat	apostles	0.8571	6
apostolokhoz	apostles	1.0	4
apostoloknak	apostles	1.0	7
apostoloknál	apostles	1.0	2
apostolokul	apostles	0.6667	2
apostolságnak	apostleship	1.0	1
apostolságom	truly	1.0	1
apostolságomnak	apostleship	1.0	1
apostolságot	apostleship	1.0	1
apostolságára	circumcised	1.0	1
apostolának	apostles	1.0	1
apostolára	apostle	0.5	1
apostolává	apostle	1.0	1
appii	far	1.0	1
appiának	to	1.0	1
apósa	was	1.0	1
arabok	arabians	1.0	1
arannyal	gold	0.8	4
arany	golden	0.6316	12
aranyam	gold	1.0	1
aranyat	gold	1.0	6
aranygyűrűs	gold	0.5	1
aranyhoz	divine	0.3333	1
aranykorsó	golden	1.0	1
aranynál	result	1.0	1
aranyon	gold	1.0	1
aranyotokat	gold	1.0	1
aranypoharak	golden	1.0	1
aranyára	gold	1.0	1
aranyát	clothing	0.5	1
aranyövvel	golden	1.0	1
arass	reap	1.0	1
arasszal	moment	1.0	1
arasznyival	cubit	1.0	1
arat	reap	0.6667	4
aratja	reap	1.0	1
aratjuk	reap	1.0	1
aratnak	reap	1.0	2
aratni	harvest	1.0	2
aratnivaló	harvest	1.0	1
aratok	reap	1.0	1
aratsz	reaping	1.0	1
aratunk	season	1.0	1
aratás	harvest	1.0	6
aratásig	harvest	1.0	1
aratásra	harvest	1.0	1
aratásába	harvest	1.0	2
aratására	reap	1.0	1
arató	reaps	0.6667	2
aratók	cries	0.5	1
aratóknak	reapers	1.0	1
arca	face	0.8333	5
arccal	face	1.0	1
arckifejezése	appearance	1.0	1
arcod	face	1.0	1
arcra	fell	0.5	3
arcuk	faces	1.0	1
arcukat	faces	1.0	2
arcul	strikes	0.2222	2
arcán	face	1.0	1
arcára	face	1.0	2
arcát	face	1.0	5
areopágosz	middle	1.0	1
areopágoszra	areopagus	1.0	1
aretász	governor	0.5	1
arimatiai	arimathaea	1.0	1
arimátiai	arimathaea	1.0	1
arimátiából	arimathaea	1.0	2
arisztarkhosz	aristarchus	1.0	3
arisztarkhoszt	aristarchus	1.0	1
arisztárkhosz	thessalonica	1.0	1
arkangyal	archangel	1.0	2
arkhelaosz	reigning	1.0	1
arkhiposznak	apphia	1.0	1
arkhipposznak	archippus	1.0	1
arpaksádé	arphaxad	1.0	1
arra	to	0.5303	35
arról	all	0.6667	2
artemisz	ephesians	0.75	3
artemisznek	artemis	1.0	1
artemászt	artemas	1.0	1
arábiába	arabia	0.5	1
arábiában	mount	1.0	1
arám	ram	1.0	1
arámot	ram	1.0	1
asszonnyal	wife	0.5	1
asszonnyá	female	1.0	2
asszony	woman	0.7683	63
asszonyaik	changed	1.0	1
asszonyból	woman	1.0	1
asszonyhoz	woman	0.6667	2
asszonykákat	lusts	1.0	1
asszonynak	woman	0.7857	11
asszonyok	women	0.7368	14
asszonyokat	women	0.8	4
asszonyokhoz	godliness	1.0	1
asszonyokkal	women	0.6667	2
asszonyoknak	women	0.3333	2
asszonyokon	addition	0.5	2
asszonyoktól	women	1.0	1
asszonyom	dear	0.5	1
asszonyra	woman	1.0	3
asszonysága	over	1.0	1
asszonyt	woman	0.5714	8
asszonytól	woman	0.6	3
asszonyé	woman	1.0	1
asszonyért	woman	1.0	1
asszoszba	set	1.0	1
asszoszban	met	1.0	1
aszerint	according	0.5	4
asztal	table	1.0	2
asztalait	tables	1.0	2
asztalhoz	table	0.4444	4
asztalnál	at	0.5	5
asztalok	serve	1.0	1
asztalokat	their	1.0	1
asztalomnál	table	1.0	1
asztalon	table	1.0	1
asztalt	food	1.0	1
asztaluk	table	1.0	1
asztalának	table	1.0	2
asztalára	my	1.0	1
asztaláról	table	1.0	2
aszünkritoszt	asyncritus	1.0	1
athénban	alone	1.0	1
athénből	athens	1.0	1
athéni	athens	1.0	1
athéniek	athenians	1.0	1
athénig	athens	0.5	1
attáliába	attalia	0.5	1
attól	him	0.5217	12
atya	father	1.0	69
atyafi	brother	0.6667	8
atyafia	brother	1.0	1
atyafiai	brothers	0.5	1
atyafiaiktól	brothers	1.0	1
atyafiaitokon	undergoing	1.0	1
atyafiak	brothers	0.9286	26
atyafiakat	brothers	0.8333	10
atyafiakhoz	brothers	1.0	1
atyafiakkal	brothers	1.0	2
atyafiaknak	brothers	0.8889	8
atyafiaktól	brothers	1.0	2
atyafiakért	brothers	1.0	1
atyafiatok	brother	1.0	1
atyafinak	brother	0.5	1
atyafiszeretők	brothers	1.0	1
atyafit	brother	0.7143	5
atyafival	brother	1.0	2
atyafiát	brother	0.5	1
atyafiúi	brotherly	0.6667	2
atyai	zealous	1.0	1
atyja	father	0.9231	24
atyjafia	brother	1.0	2
atyjafiai	brothers	1.0	1
atyjafiait	brothers	1.0	1
atyjafiának	brother	1.0	2
atyjafiára	brother	1.0	1
atyjafiát	brother	1.0	11
atyjuk	in	1.0	1
atyjukat	father	1.0	2
atyjukkal	zebedee	1.0	1
atyjához	father	1.0	1
atyjának	father	0.8	12
atyját	father	1.0	18
atyjától	day	0.3333	1
atyjával	father	1.0	2
atyjává	father	0.6667	2
atyában	father	1.0	3
atyád	father	1.0	7
atyádat	father	1.0	7
atyádfia	brother	0.5714	4
atyádfiainak	brothers	1.0	2
atyádfiait	brothers	1.0	1
atyádfiának	brother	0.75	3
atyádfiát	brother	0.8	4
atyádfiával	brother	1.0	1
atyádhoz	father	1.0	1
atyához	father	1.0	6
atyái	fathers	1.0	1
atyáidnak	fathers	1.0	1
atyáik	prophets	0.5	1
atyáikkal	fathers	1.0	1
atyáim	our	1.0	1
atyáink	fathers	1.0	11
atyáinkat	fathers	0.75	3
atyáinkkal	fathers	1.0	3
atyáinknak	fathers	1.0	6
atyáinknál	fathers	1.0	1
atyáitok	fathers	1.0	7
atyáitoknak	fathers	1.0	1
atyák	fathers	0.7692	10
atyáknak	fathers	1.0	4
atyáktól	fathers	1.0	1
atyám	father	0.9298	53
atyámat	father	1.0	9
atyámban	father	1.0	1
atyámfia	brother	1.0	5
atyámfiai	brothers	0.981	103
atyámfiaihoz	brothers	1.0	1
atyámfiainak	brothers	1.0	2
atyámfiait	flesh	1.0	1
atyámfiaiért	relatives	1.0	1
atyámfiának	brother	0.5	1
atyámfiát	brother	0.5	2
atyámhoz	father	1.0	5
atyámmal	down	0.5	1
atyámnak	my	1.0	2
atyámnál	have	1.0	1
atyámtól	father	1.0	5
atyának	father	0.8333	10
atyánk	father	0.9167	11
atyánkat	father	1.0	1
atyánkban	father	1.0	1
atyánkfia	brother	1.0	2
atyánkfiai	brothers	1.0	1
atyánkfiainak	brothers	1.0	1
atyánkfiait	brothers	1.0	2
atyánkfiaiért	brothers	1.0	1
atyánkfiáról	brothers	1.0	1
atyánkfiát	brother	1.0	2
atyánknak	father	1.0	5
atyánknál	father	1.0	2
atyánktól	father	1.0	11
atyánál	father	1.0	3
atyáról	father	0.6667	2
atyát	father	1.0	19
atyátok	father	0.9167	22
atyátokat	father	1.0	1
atyátokfia	brother	1.0	1
atyátokfiai	among	1.0	1
atyátokfiait	greet	1.0	1
atyátokfiának	block	0.5	1
atyátokhoz	father	1.0	1
atyátoknak	call	0.5	1
atyátoknál	father	1.0	2
atyától	father	1.0	7
atyával	father	1.0	1
atyáét	father	1.0	1
augustus	decision	0.3333	1
augustushoz	emperor	1.0	1
avagy	or	0.6667	4
avatatlan	unlearned	0.6667	2
avatkozz	nothing	1.0	1
avatkozó	matters	1.0	1
avatkozók	gossips	1.0	1
avulnak	grow	0.5	1
az	the	0.5932	2445
azaz	is	0.4348	10
azelőtt	each	0.5	1
aznap	day	1.0	1
azok	they	0.5812	136
azokat	those	0.5096	53
azokba	barns	0.3333	1
azokban	in	0.7143	25
azokból	gone	0.25	1
azokhoz	captains	0.25	1
azokkal	them	0.3636	8
azoknak	those	0.6341	52
azoknál	than	1.0	4
azokon	those	0.3333	6
azokra	those	0.2857	4
azokról	concerned	0.5	1
azoktól	those	0.6667	4
azoké	mine	1.0	2
azokért	those	0.4286	6
azon	in	0.3382	23
azonban	but	0.8165	89
azonképpen	so	0.8889	8
azonkívül	lay	1.0	1
azonnal	immediately	0.9302	80
azt	it	0.2196	85
aztán	he	0.4167	15
azután	then	0.3415	28
azzal	with	0.4667	14
azzur	azor	1.0	1
azzurt	azor	1.0	1
azzá	becomes	1.0	1
azáltal	wiping	1.0	1
azé	has	0.2857	2
azéi	joined	1.0	1
azért	therefore	0.5145	142
azóta	news	1.0	1
babilon	babylon	0.8333	5
babiloni	babylon	0.7143	5
babilonon	beyond	1.0	1
babilont	remembered	1.0	1
babérkoszorút	corruptible	1.0	1
baja	bad	1.0	1
bajait	here	1.0	1
bajban	diseases	1.0	1
bajból	free	0.5	1
bajodból	disease	1.0	1
bajokat	hardship	1.0	1
bajokból	plagues	1.0	1
bajt	bitterness	0.25	1
bajtársamat	fellow	1.0	1
bajtársi	gave	1.0	1
bajtársunknak	archippus	0.5	1
bajuk	pressed	1.0	1
bajából	affliction	1.0	1
bakok	goats	1.0	2
bakoknak	goats	1.0	2
bal	left	1.0	11
balgaságot	foolishness	1.0	1
balgatag	foolish	0.8	4
balgatagok	corrector	0.2	1
balgatagul	speak	1.0	1
balgává	fools	1.0	1
balkéz	left	1.0	1
barabbás	barabbas	1.0	2
barabbásnak	barabbas	1.0	1
barabbást	barabbas	1.0	7
barabást	barabbas	1.0	1
barakiás	zachariah	1.0	1
barbárok	natives	1.0	2
barbároknak	foreigners	1.0	1
barjézus	jesus	1.0	1
barlangjuk	holes	1.0	2
barlangjává	den	1.0	2
barlangokba	caves	0.5	1
barlangokban	caves	1.0	1
barmokat	cattle	1.0	1
barmoké	fish	1.0	1
barmára	animal	1.0	1
barnabás	barnabas	1.0	12
barnabásnak	barnabas	0.7143	5
barnabással	barnabas	1.0	5
barnabást	barnabas	1.0	7
barsabbás	barsabbas	1.0	1
barsabbásnak	barsabbas	1.0	1
bartimeus	beggar	1.0	1
barátai	friends	1.0	1
barátaidat	brothers	1.0	1
barátaihoz	go	1.0	1
barátaim	friends	1.0	1
barátaimmal	celebrate	1.0	1
barátaimnak	friends	1.0	2
barátait	friends	1.0	2
barátaiért	friends	1.0	1
barátja	friend	0.875	7
barátjának	called	1.0	1
barátját	saying	1.0	1
barátkoznak	dealings	1.0	1
barátkozni	himself	1.0	1
barátnőit	friends	1.0	1
barátok	friends	1.0	2
barátokat	friends	0.5	1
barátom	friend	0.6667	6
barátság	hostility	1.0	1
barátunk	fallen	0.5	1
baálnak	baal	1.0	1
be	into	0.2992	38
bebizonyítani	prove	1.0	1
bebizonyítottátok	demonstrated	0.5	1
bebizonyítva	proving	0.5	1
beborítva	sides	1.0	1
becsaptak	beat	1.0	1
becsaptalak	have	1.0	1
becsempészni	bring	0.3333	1
becses	precious	0.5	1
becsesebb	precious	0.5	1
becsületed	honored	1.0	1
becsületes	rejected	1.0	1
becsületesen	yourself	1.0	1
becsüli	discern	1.0	1
becsüljék	despise	1.0	1
becsüljétek	acknowledge	0.5	1
becsülni	respect	1.0	2
becsülnivaló	value	1.0	1
becsülte	man	1.0	1
becsültek	priced	1.0	1
becsültük	paid	0.5	1
bedobta	live	1.0	1
bedugták	ears	1.0	1
beesteledett	evening	0.6667	8
beesteledik	evening	1.0	1
beeveztek	they	1.0	1
befejezem	day	0.5	1
befejezni	finish	1.0	2
befejezte	finished	1.0	7
befejezve	voyage	1.0	1
befejezze	enough	1.0	1
befogad	receives	0.7857	11
befogadja	receives	0.75	3
befogadjanak	receive	1.0	2
befogadják	accept	1.0	1
befogadnak	receive	1.0	1
befogadnátok	receive	1.0	1
befogadott	accepted	0.5	1
befogadta	received	0.75	3
befogadtak	received	1.0	1
befogadtatok	enough	0.5	1
befogadtunk	take	1.0	1
befogadták	received	1.0	3
befogadtátok	received	1.0	1
befogadva	received	1.0	2
befogadásuk	acceptance	1.0	1
befutott	joy	0.5	1
befutva	ran	1.0	1
begyűjtöttek	gathered	1.0	1
begöngyölte	bought	0.5	1
begöngyölték	wrapped	1.0	1
behajolt	looked	1.0	1
behajolva	looking	0.5	1
behajtva	closed	1.0	1
behajózni	asia	1.0	1
behintett	garment	0.5	1
behozza	brings	1.0	1
behunyják	understand	1.0	1
behunyták	else	1.0	1
behívta	called	1.0	1
beissza	drunk	1.0	1
bejelentette	declaring	1.0	1
bejutni	rich	1.0	1
bejuttok	enter	1.0	1
bejárnak	prepared	1.0	1
bejárta	went	0.6667	2
bejártam	along	0.5	1
bejárták	gone	0.5	1
bejárva	passed	1.0	1
