surface	lemma	pos	features	source
absorbido	absorber	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
abstenerse	abstener	Verb	Case=Dative;Person=Third;Number=Singular	unimorph
abstengan	abstener	Verb	Mood=Subjunctive;Tense=Present;Person=Third;Number=Plural	unimorph
abstengáis	abstener	Verb	Mood=Subjunctive;Tense=Present;Person=Second;Number=Plural	unimorph
abstiene	abstener	Verb	Mood=Indicative;Tense=Present;Person=Third;Number=Singular	unimorph
abuela	abuelo	Noun	Gender=Feminine;Number=Singular	unimorph
abunda	abundar	Verb	Mood=Indicative;Tense=Present;Person=Third;Number=Singular	unimorph
abundan	abundar	Verb	Mood=Indicative;Tense=Present;Person=Third;Number=Plural	unimorph
abundancia	abundancia	Noun		base
abundando	abundar	Verb	Tense=Present	unimorph
abundante	abundante	Adjective		base
abundantemente	abundantemente	Adverb		base
abundantes	abundante	Adjective	Number=Plural	wiktionary
abundar	abundar	Verb		base
abundaron	abundar	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Plural	unimorph
abundará	abundar	Verb	Mood=Indicative;Tense=Future;Person=Third;Number=Singular	unimorph
abunde	abundar	Verb	Mood=Subjunctive;Tense=Present;Person=First;Number=Singular	unimorph
abundáis	abundar	Verb	Mood=Indicative;Tense=Present;Person=Second;Number=Plural	unimorph
abundéis	abundar	Verb	Mood=Subjunctive;Tense=Present;Person=Second;Number=Plural	unimorph
abundó	abundar	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Singular	unimorph
abía	abía	Verb		base
acabada	acabar	Verb	Tense=Past;Gender=Feminine;Number=Singular	unimorph
acabadas	acabar	Verb	Tense=Past;Gender=Feminine;Number=Plural	unimorph
acabado	acabar	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
acabados	acabar	Verb	Tense=Past;Gender=Masculine;Number=Plural	unimorph
acabando	acabar	Verb	Tense=Present	unimorph
acabar	acabar	Verb		base
acabarla	acabar	Verb	Case=Accusative;Person=Third;Number=Singular	unimorph
acabarse	acabar	Verb	Case=Dative;Person=Third;Number=Singular	unimorph
acabarán	acabar	Verb	Mood=Indicative;Tense=Future;Person=Third;Number=Plural	unimorph
acabaré	acabar	Verb	Mood=Indicative;Tense=Future;Person=First;Number=Singular	unimorph
acabaréis	acabar	Verb	Mood=Indicative;Tense=Future;Person=Second;Number=Plural	unimorph
acabe	acabar	Verb	Mood=Subjunctive;Tense=Present;Person=First;Number=Singular	unimorph
acabo	acabar	Verb	Mood=Indicative;Tense=Present;Person=First;Number=Singular	unimorph
acabó	acabar	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Singular	unimorph
acaecido	acaecer	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
acaso	acaso	Adverb		base
acaya	acaya	Proper noun		base
accedió	acceder	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Singular	unimorph
acciones	accionar	Verb	Mood=Subjunctive;Tense=Present;Person=Second;Number=Singular	unimorph
acción	acción	Noun		base
acebuche	acebuche	Noun		base
acechaba	acechar	Verb	Mood=Indicative;Tense=Past;Aspect=Imperfective;Person=First;Number=Singular	unimorph
acechaban	acechar	Verb	Mood=Indicative;Tense=Past;Aspect=Imperfective;Person=Third;Number=Plural	unimorph
acechan	acechar	Verb	Mood=Indicative;Tense=Present;Person=Third;Number=Plural	unimorph
acechándole	acechar	Verb	Tense=Present;Case=Dative;Person=Third;Number=Singular	unimorph
aceite	aceitar	Verb	Mood=Subjunctive;Tense=Present;Person=First;Number=Singular	unimorph
aceitunas	aceituna	Noun	Gender=Feminine;Number=Plural	unimorph
acelerada	acelerar	Verb	Tense=Past;Gender=Feminine;Number=Singular	unimorph
acepción	acepción	Noun		base
acepta	aceptar	Verb	Person=Third;Number=Singular;Tense=Present;Mood=Indicative	wiktionary
aceptable	aceptable	Adjective		base
aceptado	aceptar	Verb	NonFinite=Participle;Tense=Past	wiktionary
aceptando	aceptar	Verb	NonFinite=Gerund	wiktionary
acepto	aceptar	Verb	Person=First;Number=Singular;Tense=Present;Mood=Indicative	wiktionary
aceptásemos	aceptar	Verb	Person=First;Number=Plural;Tense=Imperfect;Mood=Subjunctive	wiktionary
acerca	acercar	Verb	Mood=Indicative;Tense=Present;Person=Third;Number=Singular	unimorph
acercaba	acercar	Verb	Mood=Indicative;Tense=Past;Aspect=Imperfective;Person=First;Number=Singular	unimorph
acercado	acercar	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
acercamos	acercar	Verb	Mood=Indicative;Tense=Present;Person=First;Number=Plural	unimorph
acercaron	acercar	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Plural	unimorph
acercándose	acercar	Verb	Tense=Present;Case=Dative;Person=Third;Number=Singular	unimorph
acercó	acercar	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Singular	unimorph
achaque	achacar	Verb	Person=Third;Number=Singular;Tense=Present;Mood=Subjunctive	wiktionary
aclamaba	aclamar	Verb	Mood=Indicative;Tense=Past;Aspect=Imperfective;Person=First;Number=Singular	unimorph
aclamaban	aclamar	Verb	Mood=Indicative;Tense=Past;Aspect=Imperfective;Person=Third;Number=Plural	unimorph
aclamación	aclamación	Noun		base
aclamando	aclamar	Verb	Tense=Present	unimorph
aclarar	aclarar	Verb		base
aclarará	aclarar	Verb	Mood=Indicative;Tense=Future;Person=Third;Number=Singular	unimorph
acogemos	acoger	Verb	Mood=Indicative;Tense=Present;Person=First;Number=Plural	unimorph
acometiendo	acometer	Verb	Tense=Present	unimorph
acometió	acometer	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Singular	unimorph
acomodando	acomodar	Verb	Tense=Present	unimorph
acomodándoos	acomodar	Verb	Tense=Present;Case=Dative;Person=Second;Number=Plural	unimorph
acompañados	acompañar	Verb	Tense=Past;Gender=Masculine;Number=Plural	unimorph
acompañaron	acompañar	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Plural	unimorph
acompañándonos	acompañar	Verb	Tense=Present;Case=Dative;Person=First;Number=Plural	unimorph
aconsejo	aconsejar	Verb	Mood=Indicative;Tense=Present;Person=First;Number=Singular	unimorph
acontecer	acontecer	Verb		base
acontecerá	acontecer	Verb	Mood=Indicative;Tense=Future;Person=Third;Number=Singular	unimorph
acontecido	acontecer	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
acontecieron	acontecer	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Plural	unimorph
aconteciese	acontecer	Verb	Mood=Subjunctive;Tense=Past;Person=Third;Number=Singular	unimorph
aconteció	acontecer	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Singular	unimorph
acontezca	acontecer	Verb	Mood=Subjunctive;Tense=Present;Person=Third;Number=Singular	unimorph
acontezcan	acontecer	Verb	Mood=Subjunctive;Tense=Present;Person=Third;Number=Plural	unimorph
acordado	acordar	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
acordamos	acordar	Verb	Mood=Indicative;Tense=Present;Person=First;Number=Plural	unimorph
acordaos	acordar	Verb	Mood=Imperative;Person=Second;Number=Plural;Case=Dative	unimorph
acordaran	acordar	Verb	Mood=Subjunctive;Tense=Past;Person=Third;Number=Plural	unimorph
acordares	acordar	Verb	Mood=Subjunctive;Tense=Future;Person=Second;Number=Singular	unimorph
acordaron	acordar	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Plural	unimorph
acordaré	acordar	Verb	Mood=Indicative;Tense=Future;Person=First;Number=Singular	unimorph
acordáis	acordar	Verb	Mood=Indicative;Tense=Present;Person=Second;Number=Plural	unimorph
acordándome	acordar	Verb	Tense=Present;Case=Dative;Person=First;Number=Singular	unimorph
acordándonos	acordar	Verb	Tense=Present;Case=Dative;Person=First;Number=Plural	unimorph
acordándoos	acordar	Verb	Tense=Present;Case=Dative;Person=Second;Number=Plural	unimorph
acordándose	acordar	Verb	Tense=Present;Case=Dative;Person=Third;Number=Singular	unimorph
acordásemos	acordar	Verb	Mood=Subjunctive;Tense=Past;Person=First;Number=Plural	unimorph
acordé	acordar	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=First;Number=Singular	unimorph
acordéis	acordar	Verb	Mood=Subjunctive;Tense=Present;Person=Second;Number=Plural	unimorph
acordó	acordar	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Singular	unimorph
acortados	acortar	Verb	Tense=Past;Gender=Masculine;Number=Plural	unimorph
acosado	acosar	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
acostada	acostar	Verb	Tense=Past;Gender=Feminine;Number=Singular	unimorph
acostado	acostar	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
acostumbraba	acostumbrar	Verb	Mood=Indicative;Tense=Past;Aspect=Imperfective;Person=First;Number=Singular	unimorph
acostumbran	acostumbrar	Verb	Mood=Indicative;Tense=Present;Person=Third;Number=Plural	unimorph
acreedor	acreedor	Noun		base
acudiendo	acudir	Verb	Tense=Present	unimorph
acuerda	acordar	Verb	Mood=Indicative;Tense=Present;Person=Third;Number=Singular	unimorph
acuerdas	acordar	Verb	Mood=Indicative;Tense=Present;Person=Second;Number=Singular	unimorph
acuerdo	acordar	Verb	Mood=Indicative;Tense=Present;Person=First;Number=Singular	unimorph
acusa	acusar	Verb	Mood=Indicative;Tense=Present;Person=Third;Number=Singular	unimorph
acusaba	acusar	Verb	Mood=Indicative;Tense=Past;Aspect=Imperfective;Person=First;Number=Singular	unimorph
acusaban	acusar	Verb	Mood=Indicative;Tense=Past;Aspect=Imperfective;Person=Third;Number=Plural	unimorph
acusaciones	acusación	Noun	Gender=Feminine;Number=Plural	unimorph
acusación	acusación	Noun		base
acusado	acusar	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
acusador	acusador	Adjective		base
acusadores	acusador	Adjective	Gender=Masculine;Number=Plural	unimorph
acusados	acusar	Verb	Tense=Past;Gender=Masculine;Number=Plural	unimorph
acusamos	acusar	Verb	Mood=Indicative;Tense=Present;Person=First;Number=Plural	unimorph
acusan	acusar	Verb	Mood=Indicative;Tense=Present;Person=Third;Number=Plural	unimorph
acusar	acusar	Verb		base
acusarle	acusar	Verb	Case=Dative;Person=Third;Number=Singular	unimorph
acusarme	acusar	Verb	Case=Dative;Person=First;Number=Singular	unimorph
acusará	acusar	Verb	Mood=Indicative;Tense=Future;Person=Third;Number=Singular	unimorph
acusasen	acusar	Verb	Mood=Subjunctive;Tense=Past;Person=Third;Number=Plural	unimorph
acusáis	acusar	Verb	Mood=Indicative;Tense=Present;Person=Second;Number=Plural	unimorph
acusándole	acusar	Verb	Tense=Present;Case=Dative;Person=Third;Number=Singular	unimorph
acusándose	acusar	Verb	Tense=Present;Case=Dative;Person=Third;Number=Singular	unimorph
acuérdate	acordar	Verb	Mood=Imperative;Person=Second;Number=Singular;Case=Dative	unimorph
acá	acá	Adverb		base
acúsenle	acusar	Verb	Mood=Imperative;Person=Third;Number=Singular;Case=Dative	unimorph
acúsense	acusar	Verb	Mood=Imperative;Person=Third;Number=Plural;Case=Dative	unimorph
adam	adam	Proper noun		base
adelantaba	adelantar	Verb	Mood=Indicative;Tense=Past;Aspect=Imperfective;Person=First;Number=Singular	unimorph
adelantada	adelantar	Verb	Tense=Past;Gender=Feminine;Number=Singular	unimorph
adelante	adelantar	Verb	Mood=Subjunctive;Tense=Present;Person=First;Number=Singular	unimorph
además	ademar	Verb	Mood=Indicative;Tense=Present;Person=Second;Number=Singular	unimorph
adentro	adentrar	Verb	Mood=Indicative;Tense=Present;Person=First;Number=Singular	unimorph
aderecemos	aderezar	Verb	Mood=Subjunctive;Tense=Present;Person=First;Number=Plural	unimorph
adereza	aderezar	Verb	Mood=Indicative;Tense=Present;Person=Third;Number=Singular	unimorph
aderezaban	aderezar	Verb	Mood=Indicative;Tense=Past;Aspect=Imperfective;Person=Third;Number=Plural	unimorph
aderezad	aderezar	Verb	Mood=Imperative;Person=Second;Number=Plural	unimorph
aderezado	aderezar	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
aderezaron	aderezar	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Plural	unimorph
adivinando	adivinar	Verb	Tense=Present	unimorph
administraban	administrar	Verb	Mood=Indicative;Tense=Past;Aspect=Imperfective;Person=Third;Number=Plural	unimorph
administración	administración	Noun		base
administrada	administrar	Verb	Tense=Past;Gender=Feminine;Number=Singular	unimorph
administradores	administrador	Noun	Gender=Masculine;Number=Plural	unimorph
adminístrelo	administrar	Verb	Mood=Imperative;Person=Third;Number=Singular;Case=Accusative	unimorph
admiraban	admirar	Verb	Mood=Indicative;Tense=Past;Aspect=Imperfective;Person=Third;Number=Plural	unimorph
admirable	admirable	Adjective		base
admiración	admiración	Noun		base
admitas	admitir	Verb	Mood=Subjunctive;Tense=Present;Person=Second;Number=Singular	unimorph
admitidnos	admitir	Verb	Mood=Imperative;Person=First;Number=Plural;Case=Dative	unimorph
admonición	admonición	Noun		base
adobará	adobar	Verb	Mood=Indicative;Tense=Future;Person=Third;Number=Singular	unimorph
adobaréis	adobar	Verb	Mood=Indicative;Tense=Future;Person=Second;Number=Plural	unimorph
adopción	adopción	Noun		base
adoptados	adoptar	Verb	Tense=Past;Gender=Masculine;Number=Plural	unimorph
adora	adorar	Verb	Mood=Indicative;Tense=Present;Person=Third;Number=Singular	unimorph
adoraba	adorar	Verb	Mood=Indicative;Tense=Past;Aspect=Imperfective;Person=First;Number=Singular	unimorph
adoraban	adorar	Verb	Mood=Indicative;Tense=Past;Aspect=Imperfective;Person=Third;Number=Plural	unimorph
adorad	adorar	Verb	Mood=Imperative;Person=Second;Number=Plural	unimorph
adorado	adorar	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
adoradores	adorador	Noun	Gender=Masculine;Number=Plural	unimorph
adoramos	adorar	Verb	Mood=Indicative;Tense=Present;Person=First;Number=Plural	unimorph
adoran	adorar	Verb	Mood=Indicative;Tense=Present;Person=Third;Number=Plural	unimorph
adorar	adorar	Verb		base
adoraren	adorar	Verb	Mood=Subjunctive;Tense=Future;Person=Third;Number=Plural	unimorph
adorares	adorar	Verb	Mood=Subjunctive;Tense=Future;Person=Second;Number=Singular	unimorph
adorarlas	adorar	Verb	Case=Accusative;Person=Third;Number=Plural	unimorph
adorarle	adorar	Verb	Case=Dative;Person=Third;Number=Singular	unimorph
adoraron	adorar	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Plural	unimorph
adorará	adorar	Verb	Mood=Indicative;Tense=Future;Person=Third;Number=Singular	unimorph
adorarán	adorar	Verb	Mood=Indicative;Tense=Future;Person=Third;Number=Plural	unimorph
adorarás	adorar	Verb	Mood=Indicative;Tense=Future;Person=Second;Number=Singular	unimorph
adoraréis	adorar	Verb	Mood=Indicative;Tense=Future;Person=Second;Number=Plural	unimorph
adorasen	adorar	Verb	Mood=Subjunctive;Tense=Past;Person=Third;Number=Plural	unimorph
adore	adorar	Verb	Mood=Subjunctive;Tense=Present;Person=First;Number=Singular	unimorph
adoren	adorar	Verb	Mood=Subjunctive;Tense=Present;Person=Third;Number=Plural	unimorph
adornada	adornar	Verb	Tense=Past;Gender=Feminine;Number=Singular	unimorph
adornado	adornar	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
adornados	adornar	Verb	Tense=Past;Gender=Masculine;Number=Plural	unimorph
adornen	adornar	Verb	Mood=Subjunctive;Tense=Present;Person=Third;Number=Plural	unimorph
adorno	adornar	Verb	Mood=Indicative;Tense=Present;Person=First;Number=Singular	unimorph
adornáis	adornar	Verb	Mood=Indicative;Tense=Present;Person=Second;Number=Plural	unimorph
adoráis	adorar	Verb	Mood=Indicative;Tense=Present;Person=Second;Number=Plural	unimorph
adorándole	adorar	Verb	Tense=Present;Case=Dative;Person=Third;Number=Singular	unimorph
adoró	adorar	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Singular	unimorph
adquirida	adquirir	Verb	Tense=Past;Gender=Feminine;Number=Singular	unimorph
adquirido	adquirir	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
adquirió	adquirir	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Singular	unimorph
adriático	adriático	Adjective		base
adultera	adulterar	Verb	Mood=Indicative;Tense=Present;Person=Third;Number=Singular	unimorph
adulteran	adulterar	Verb	Mood=Indicative;Tense=Present;Person=Third;Number=Plural	unimorph
adulterando	adulterar	Verb	Tense=Present	unimorph
adulterar	adulterar	Verb		base
adulterarás	adulterar	Verb	Mood=Indicative;Tense=Future;Person=Second;Number=Singular	unimorph
adulteras	adulterar	Verb	Mood=Indicative;Tense=Present;Person=Second;Number=Singular	unimorph
adultere	adulterar	Verb	Mood=Subjunctive;Tense=Present;Person=First;Number=Singular	unimorph
adulteres	adulterar	Verb	Mood=Subjunctive;Tense=Present;Person=Second;Number=Singular	unimorph
adulterina	adulterina	Noun		base
adulterio	adulterio	Noun		base
adulterios	adulterio	Noun	Gender=Masculine;Number=Plural	unimorph
adulteró	adulterar	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Singular	unimorph
advenedizos	advenedizo	Adjective	Gender=Masculine;Number=Plural	unimorph
advenimiento	advenimiento	Noun		base
adversario	adversario	Noun		base
adversarios	adversario	Noun	Gender=Masculine;Number=Plural	unimorph
advertencia	advertencia	Noun		base
adónde	adónde	Pronoun		base
adórenle	adorar	Verb	Mood=Imperative;Person=Third;Number=Singular;Case=Dative	unimorph
adúltera	adúltero	Adjective	Number=Singular;Gender=Feminine	wiktionary
adúlteras	adúltera	Noun	Gender=Feminine;Number=Plural	unimorph
adúlteros	adúltero	Adjective	Gender=Masculine;Number=Plural	unimorph
afanosos	afanoso	Adjective	Gender=Masculine;Number=Plural	unimorph
afectando	afectar	Verb	Tense=Present	unimorph
afecto	afectar	Verb	Mood=Indicative;Tense=Present;Person=First;Number=Singular	unimorph
afectos	afecto	Noun	Gender=Masculine;Number=Plural	unimorph
afeminados	afeminado	Adjective	Gender=Masculine;Number=Plural	unimorph
afición	afición	Noun		base
afinado	afinar	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
afirmaba	afirmar	Verb	Mood=Indicative;Tense=Past;Aspect=Imperfective;Person=First;Number=Singular	unimorph
afirmados	afirmar	Verb	Tense=Past;Gender=Masculine;Number=Plural	unimorph
afirman	afirmar	Verb	Mood=Indicative;Tense=Present;Person=Third;Number=Plural	unimorph
afirmando	afirmar	Verb	Tense=Present	unimorph
afirmar	afirmar	Verb		base
afirmarle	afirmar	Verb	Case=Dative;Person=Third;Number=Singular	unimorph
afirmará	afirmar	Verb	Mood=Indicative;Tense=Future;Person=Third;Number=Singular	unimorph
afirmes	afirmar	Verb	Mood=Subjunctive;Tense=Present;Person=Second;Number=Singular	unimorph
afirmó	afirmar	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Singular	unimorph
aflicciones	aflicción	Noun	Gender=Feminine;Number=Plural	unimorph
aflicción	aflicción	Noun		base
afligido	afligir	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
afligidos	afligir	Verb	Tense=Past;Gender=Masculine;Number=Plural	unimorph
afligiéndome	afligir	Verb	Tense=Present;Case=Dative;Person=First;Number=Singular	unimorph
afligía	afligir	Verb	Mood=Indicative;Tense=Past;Aspect=Imperfective;Person=First;Number=Singular	unimorph
afligíos	afligir	Verb	Mood=Imperative;Person=Second;Number=Plural;Case=Dative	unimorph
afrenta	afrentar	Verb	Mood=Indicative;Tense=Present;Person=Third;Number=Singular	unimorph
afrentado	afrentar	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
afrentados	afrentar	Verb	Tense=Past;Gender=Masculine;Number=Plural	unimorph
afrentarlos	afrentar	Verb	Case=Accusative;Person=Third;Number=Plural	unimorph
afrentaron	afrentar	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Plural	unimorph
afrentas	afrentar	Verb	Mood=Indicative;Tense=Present;Person=Second;Number=Singular	unimorph
africa	africa	Proper noun		base
afuera	aforar	Verb	Mood=Indicative;Tense=Present;Person=Third;Number=Singular	unimorph
afán	afán	Noun		base
agabo	agabo	Proper noun		alignment
agar	agar	Noun		base
agitada	agitar	Verb	Tense=Past;Gender=Feminine;Number=Singular	unimorph
agitado	agitar	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
agobiada	agobiar	Verb	Tense=Past;Gender=Feminine;Number=Singular	unimorph
agolpa	agolparse	Verb	Person=Third;Number=Singular;Tense=Present;Mood=Indicative	wiktionary
agolpaba	agolparse	Verb	Person=First;Number=Singular;Tense=Imperfect;Mood=Indicative	wiktionary
agolpaban	agolparse	Verb	Person=Third;Number=Plural;Tense=Imperfect;Mood=Indicative	wiktionary
agonía	agonía	Noun		base
agotar	agotar	Verb		base
agrada	agradar	Verb	Mood=Indicative;Tense=Present;Person=Third;Number=Singular	unimorph
agradable	agradable	Adjective		base
agradables	agradable	Adjective	Number=Plural	wiktionary
agradado	agradar	Verb	Tense=Past;Gender=Masculine;Number=Singular	unimorph
agradan	agradar	Verb	Mood=Indicative;Tense=Present;Person=Third;Number=Plural	unimorph
agradando	agradar	Verb	Tense=Present	unimorph
agradar	agradar	Verb		base
agradara	agradar	Verb	Mood=Subjunctive;Tense=Past;Person=First;Number=Singular	unimorph
agradarnos	agradar	Verb	Case=Dative;Person=First;Number=Plural	unimorph
agradaron	agradar	Verb	Mood=Indicative;Tense=Past;Aspect=Perfective;Person=Third;Number=Plural	unimorph
